,万得全A
,881001.WI
日期,收盘价
Date,close
2009-09-03,2439.8274
2009-09-04,2464.2466
2009-09-07,2487.3386
2009-09-08,2535.0740
2009-09-09,2550.4365
2009-09-10,2526.4753
2009-09-11,2581.6362
2009-09-14,2629.2842
2009-09-15,2641.1228
2009-09-16,2618.2334
2009-09-17,2669.7319
2009-09-18,2579.6609
2009-09-21,2597.3918
2009-09-22,2539.2256
2009-09-23,2480.3601
2009-09-24,2482.1772
2009-09-25,2462.6953
2009-09-28,2398.6887
2009-09-29,2381.9404
2009-09-30,2406.5757
2009-10-09,2524.8125
2009-10-12,2521.8665
2009-10-13,2559.8716
2009-10-14,2582.9204
2009-10-15,2590.6694
2009-10-16,2591.2881
2009-10-19,2652.0996
2009-10-20,2691.3518
2009-10-21,2680.6519
2009-10-22,2669.2310
2009-10-23,2716.1458
2009-10-26,2716.3091
2009-10-27,2644.3188
2009-10-28,2656.7363
2009-10-29,2598.5413
2009-10-30,2631.8694
2009-11-02,2712.1897
2009-11-03,2747.9316
2009-11-04,2763.1917
2009-11-05,2783.9746
2009-11-06,2792.7505
2009-11-09,2805.3755
2009-11-10,2812.5911
2009-11-11,2812.2412
2009-11-12,2814.8062
2009-11-13,2832.8015
2009-11-16,2908.8071
2009-11-17,2916.7578
2009-11-18,2932.8501
2009-11-19,2950.7432
2009-11-20,2944.5063
2009-11-23,2976.0454
2009-11-24,2867.0957
2009-11-25,2934.5142
2009-11-26,2823.1077
2009-11-27,2757.7820
2009-11-30,2855.1345
2009-12-01,2901.8079
2009-12-02,2934.1360
2009-12-03,2932.4329
2009-12-04,2950.3362
2009-12-07,2972.4902
2009-12-08,2947.2083
2009-12-09,2901.2964
2009-12-10,2917.0291
2009-12-11,2912.7725
2009-12-14,2946.9395
2009-12-15,2931.4055
2009-12-16,2912.1089
2009-12-17,2841.1541
2009-12-18,2774.1475
2009-12-21,2787.9209
2009-12-22,2724.9814
2009-12-23,2753.5435
2009-12-24,2831.7480
2009-12-25,2828.4138
2009-12-28,2871.1904
2009-12-29,2890.7117
2009-12-30,2924.0989
2009-12-31,2939.7869
2010-01-04,2917.8525
2010-01-05,2941.4729
2010-01-06,2921.8748
2010-01-07,2860.3718
2010-01-08,2872.4092
2010-01-11,2879.4717
2010-01-12,2929.6306
2010-01-13,2849.6272
2010-01-14,2896.4685
2010-01-15,2909.5247
2010-01-18,2928.5186
2010-01-19,2930.5088
2010-01-20,2834.6848
2010-01-21,2848.9463
2010-01-22,2810.1230
2010-01-25,2777.9014
2010-01-26,2703.8921
2010-01-27,2671.9570
