,标普500,,,日经225,,,上证综指
,SPX.GI,,,N225.GI,,,000001.SH
日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close
2008-07-09,8542.5564,,2008-07-09,833.9136,,2008-07-09,2920.5460
2008-07-10,8584.3428,,2008-07-10,837.3468,,2008-07-10,2875.4500
2008-07-11,8477.7398,,2008-07-11,833.4057,,2008-07-11,2856.6340
2008-07-14,8385.1128,,2008-07-14,832.3770,,2008-07-14,2878.2560
2008-07-15,8289.3309,,2008-07-15,820.4753,,2008-07-15,2779.4480
2008-07-16,8484.3886,,2008-07-16,829.6689,,2008-07-16,2705.8670
2008-07-17,8593.9960,,2008-07-17,836.5311,,2008-07-17,2684.7780
2008-07-18,8602.6282,,2008-07-18,820.7172,,2008-07-18,2778.3670
2008-07-21,8602.1460,,2008-07-21,818.1948,,2008-07-21,2861.4180
2008-07-22,8711.5663,,2008-07-22,844.7604,,2008-07-22,2846.1170
2008-07-23,8754.6651,,2008-07-23,846.9952,,2008-07-23,2837.8490
2008-07-24,8554.4724,,2008-07-24,861.2800,,2008-07-24,2910.2920
2008-07-25,8584.8409,,2008-07-25,848.1174,,2008-07-25,2865.1010
2008-07-28,8427.9080,,2008-07-28,844.2927,,2008-07-28,2903.0120
2008-07-29,8615.6556,,2008-07-29,835.6646,,2008-07-29,2850.3110
2008-07-30,8778.0455,,2008-07-30,845.4726,,2008-07-30,2836.6680
2008-07-31,8667.3583,,2008-07-31,846.1501,,2008-07-31,2775.7170
2008-08-01,8623.4191,,2008-08-01,831.4148,,2008-08-01,2801.8170
2008-08-04,8552.0964,,2008-08-04,823.2357,,2008-08-04,2741.7400
2008-08-05,8801.5565,,2008-08-05,817.3559,,2008-08-05,2690.7460
2008-08-06,8834.1745,,2008-08-06,837.7886,,2008-08-06,2719.3680
2008-08-07,8679.5429,,2008-08-07,822.7662,,2008-08-07,2727.5770
2008-08-08,8890.8107,,2008-08-08,824.4610,,2008-08-08,2605.7190
2008-08-11,8959.4554,,2008-08-11,838.7469,,2008-08-11,2470.0740
2008-08-12,8854.1960,,2008-08-12,829.2001,,2008-08-12,2457.1980
2008-08-13,8824.3941,,2008-08-13,819.8401,,2008-08-13,2446.2970
2008-08-14,8873.3786,,2008-08-14,812.7023,,2008-08-14,2437.0820
2008-08-15,8912.0132,,2008-08-15,813.1793,,2008-08-15,2450.6100
2008-08-18,8779.5069,,2008-08-18,820.5893,,2008-08-18,2319.8680
2008-08-19,8689.3667,,2008-08-19,802.3417,,2008-08-19,2344.4690
2008-08-20,8734.2952,,2008-08-20,801.6370,,2008-08-20,2523.2820
2008-08-21,8754.6819,,2008-08-21,796.6051,,2008-08-21,2431.7160
2008-08-22,8833.0915,,2008-08-22,796.6306,,2008-08-22,2405.2260
2008-08-25,8664.8055,,2008-08-25,798.9663,,2008-08-25,2413.3740
2008-08-26,8697.1284,,2008-08-26,798.6310,,2008-08-26,2350.0840
2008-08-27,8768.4769,,2008-08-27,798.4756,,2008-08-27,2342.1470
2008-08-28,8887.0262,,2008-08-28,796.7516,,2008-08-28,2350.1430
2008-08-29,8767.5016,,2008-08-29,817.4073,,2008-08-29,2397.3690
2008-09-01,8764.2946,,2008-09-01,807.1287,,2008-09-01,2325.1350
2008-09-02,8733.4091,,2008-09-02,794.2201,,2008-09-02,2304.8910
2008-09-03,8720.6082,,2008-09-03,797.2616,,2008-09-03,2276.6720
2008-09-04,8461.1540,,2008-09-04,793.2297,,2008-09-04,2277.4110
2008-09-05,8501.8727,,2008-09-05,782.8772,,2008-09-05,2202.4460
2008-09-08,8678.6564,,2008-09-08,796.5024,,2008-09-08,2143.4210
2008-09-09,8375.5259,,2008-09-09,787.1809,,2008-09-09,2145.7790
2008-09-10,8427.8928,,2008-09-10,788.3694,,2008-09-10,2150.7590
2008-09-11,8550.6216,,2008-09-11,770.8082,,2008-09-11,2078.9810
2008-09-12,8568.8879,,2008-09-12,780.3644,,2008-09-12,2079.6730
2008-09-16,8277.0479,,2008-09-16,759.3570,,2008-09-16,1986.6360
2008-09-17,7896.9873,,2008-09-17,754.0898,,2008-09-17,1929.0470
2008-09-18,8228.5189,,2008-09-18,748.1602,,2008-09-18,1895.8370
2008-09-19,8569.1842,,2008-09-19,766.4279,,2008-09-19,2075.0910
2008-09-22,8237.5443,,2008-09-22,771.9479,,2008-09-22,2236.4100
2008-09-23,8080.9654,,2008-09-23,781.2939,,2008-09-23,2201.5100
2008-09-24,8079.2137,,2008-09-24,782.6915,,2008-09-24,2216.8110
2008-09-25,8246.2448,,2008-09-25,772.2120,,2008-09-25,2297.5010
2008-09-26,8270.6661,,2008-09-26,764.6826,,2008-09-26,2293.7840
2008-10-06,7220.7782,,2008-10-06,685.7046,,2008-10-06,2173.7380
2008-10-07,6808.7339,,2008-10-07,683.0757,,2008-10-07,2157.8390
2008-10-08,6729.0116,,2008-10-08,618.9785,,2008-10-08,2092.2240
2008-10-09,6215.6635,,2008-10-09,626.6470,,2008-10-09,2074.5830
2008-10-10,6144.1005,,2008-10-10,571.1564,,2008-10-10,2000.5720
2008-10-13,6851.5761,,2008-10-13,561.0509,,2008-10-13,2073.5680
2008-10-14,6814.2127,,2008-10-14,627.4604,,2008-10-14,2017.3210
2008-10-15,6198.0052,,2008-10-15,641.3036,,2008-10-15,1994.6670
2008-10-16,6463.6437,,2008-10-16,577.5853,,2008-10-16,1909.9410
2008-10-17,6424.9911,,2008-10-17,584.5029,,2008-10-17,1930.6510
2008-10-20,6729.9864,,2008-10-20,604.2391,,2008-10-20,1974.0060
2008-10-21,6523.8510,,2008-10-21,623.6304,,2008-10-21,1958.5290
2008-10-22,6128.5048,,2008-10-22,590.3994,,2008-10-22,1895.8220
2008-10-23,6208.5664,,2008-10-23,592.6832,,2008-10-23,1875.5610
2008-10-24,5993.3367,,2008-10-24,537.6232,,2008-10-24,1839.6210
2008-10-27,5803.2171,,2008-10-27,520.1053,,2008-10-27,1723.3510
2008-10-28,6430.1728,,2008-10-28,557.8331,,2008-10-28,1771.8210
2008-10-29,6354.1889,,2008-10-29,573.2317,,2008-10-29,1719.8120
2008-10-30,6513.5724,,2008-10-30,625.8527,,2008-10-30,1763.6070
2008-10-31,6612.4938,,2008-10-31,595.7828,,2008-10-31,1728.7860
2008-11-03,6598.6694,,2008-11-03,594.8393,,2008-11-03,1719.7740
2008-11-04,6865.3501,,2008-11-04,627.9504,,2008-11-04,1706.7030
2008-11-05,6501.7025,,2008-11-05,651.4528,,2008-11-05,1760.6090
2008-11-06,6175.9870,,2008-11-06,618.8996,,2008-11-06,1717.7220
2008-11-07,6356.5204,,2008-11-07,603.6510,,2008-11-07,1747.7130
2008-11-10,6273.7921,,2008-11-10,624.9477,,2008-11-10,1874.8010
2008-11-11,6136.6822,,2008-11-11,616.7215,,2008-11-11,1843.6070
2008-11-12,5820.4419,,2008-11-12,608.6770,,2008-11-12,1859.1100
2008-11-13,6223.6551,,2008-11-13,588.4613,,2008-11-13,1927.6130
2008-11-14,5963.6101,,2008-11-14,595.1176,,2008-11-14,1986.4380
2008-11-17,5810.8777,,2008-11-17,603.3220,,2008-11-17,2030.4850
2008-11-18,5866.0714,,2008-11-18,589.4682,,2008-11-18,1902.4300
2008-11-19,5508.3768,,2008-11-19,585.3138,,2008-11-19,2017.4740
2008-11-20,5139.6919,,2008-11-20,549.0419,,2008-11-20,1983.7600
2008-11-21,5465.5650,,2008-11-21,573.6588,,2008-11-21,1969.3890
2008-11-24,5818.2030,,2008-11-24,567.3144,,2008-11-24,1897.0600
2008-11-25,5854.6019,,2008-11-25,588.1190,,2008-11-25,1888.7150
2008-11-26,6060.3689,,2008-11-26,590.0624,,2008-11-26,1897.8840
2008-11-27,6062.1443,,2008-11-27,599.5933,,2008-11-27,1917.8610
2008-11-28,6125.7108,,2008-11-28,609.3764,,2008-11-28,1871.1560
2008-12-01,5591.4466,,2008-12-01,603.4662,,2008-12-01,1894.6150
2008-12-02,5816.6403,,2008-12-02,574.8593,,2008-12-02,1889.6380
2008-12-03,5964.7431,,2008-12-03,589.9502,,2008-12-03,1965.4140
2008-12-04,5789.9260,,2008-12-04,582.3999,,2008-12-04,2001.5040
2008-12-05,5999.5026,,2008-12-05,586.0778,,2008-12-05,2018.6560
2008-12-08,6232.2637,,2008-12-08,615.6167,,2008-12-08,2090.7730
2008-12-09,6085.5233,,2008-12-09,618.4146,,2008-12-09,2037.7400
2008-12-10,6157.5459,,2008-12-10,640.4334,,2008-12-10,2079.1170
2008-12-11,5981.5581,,2008-12-11,644.6492,,2008-12-11,2031.6810
2008-12-12,6021.8398,,2008-12-12,615.8537,,2008-12-12,1954.2150
2008-12-15,5944.6668,,2008-12-15,650.5340,,2008-12-15,1964.3740
2008-12-16,6249.1647,,2008-12-16,647.3139,,2008-12-16,1975.0060
2008-12-17,6181.9820,,2008-12-17,661.4846,,2008-12-17,1976.8190
2008-12-18,6048.4100,,2008-12-18,677.3007,,2008-12-18,2015.6940
2008-12-19,6069.2813,,2008-12-19,653.5177,,2008-12-19,2018.4630
2008-12-22,5959.9445,,2008-12-22,663.1556,,2008-12-22,1987.7550
2008-12-23,5903.0649,,2008-12-23,661.3585,,2008-12-23,1897.2250
2008-12-24,5937.8856,,2008-12-24,642.2064,,2008-12-24,1863.8000
2008-12-25,5935.1943,,2008-12-25,650.0620,,2008-12-25,1852.4190
2008-12-26,5966.6354,,2008-12-26,657.9111,,2008-12-26,1851.5180
2008-12-29,5943.0943,,2008-12-29,659.3092,,2008-12-29,1850.4800
2008-12-30,6087.7916,,2008-12-30,666.2744,,2008-12-30,1832.9100
2008-12-31,6173.3525,,2008-12-31,670.2257,,2008-12-31,1820.8050
2009-01-05,6340.6974,,2009-01-05,671.7591,,2009-01-05,1880.7160
2009-01-06,6391.8525,,2009-01-06,666.7607,,2009-01-06,1937.1450
2009-01-07,6200.4887,,2009-01-07,672.2286,,2009-01-07,1924.0120
2009-01-08,6220.2789,,2009-01-08,654.1566,,2009-01-08,1878.1810
2009-01-09,6086.6997,,2009-01-09,661.2754,,2009-01-09,1904.8610
2009-01-12,5951.0119,,2009-01-12,671.7205,,2009-01-12,1900.3470
2009-01-13,5962.6077,,2009-01-13,643.3444,,2009-01-13,1863.3670
2009-01-14,5763.4365,,2009-01-14,646.4106,,2009-01-14,1928.8690
2009-01-15,5770.5066,,2009-01-15,615.1311,,2009-01-15,1920.2060
2009-01-16,5813.3756,,2009-01-16,625.2280,,2009-01-16,1954.4380
2009-01-19,5811.4203,,2009-01-19,620.0564,,2009-01-19,1986.6720
2009-01-20,5506.4970,,2009-01-20,610.2899,,2009-01-20,1994.1070
2009-01-21,5746.9055,,2009-01-21,601.2279,,2009-01-21,1985.0160
2009-01-22,5657.8658,,2009-01-22,619.4687,,2009-01-22,2004.9510
2009-01-23,5688.8741,,2009-01-23,594.1769,,2009-01-23,1990.6570
