,标普500,,,日经225,,,上证综指
,SPX.GI,,,N225.GI,,,000001.SH
日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close
2014-01-22,11269.6963,,2014-01-22,924.7826,,2014-01-22,2051.7490
2014-01-23,11173.1705,,2014-01-23,914.0188,,2014-01-23,2042.1800
2014-01-24,10927.0350,,2014-01-24,906.1473,,2014-01-24,2054.3920
2014-01-27,10871.4354,,2014-01-27,893.3811,,2014-01-27,2033.3000
2014-01-28,10943.7503,,2014-01-28,889.3272,,2014-01-28,2038.5130
2014-01-29,10835.5717,,2014-01-29,908.4507,,2014-01-29,2049.9140
2014-01-30,10953.5300,,2014-01-30,894.7960,,2014-01-30,2033.0830
2014-02-07,10977.8155,,2014-02-07,863.8687,,2014-02-07,2044.4970
2014-02-10,10993.9627,,2014-02-10,875.2702,,2014-02-10,2086.0670
2014-02-11,11113.0313,,2014-02-11,877.6841,,2014-02-11,2103.6710
2014-02-12,11111.6762,,2014-02-12,878.5020,,2014-02-12,2109.9550
2014-02-13,11180.2613,,2014-02-13,864.5699,,2014-02-13,2098.4010
2014-02-14,11228.5134,,2014-02-14,853.0852,,2014-02-14,2115.8480
2014-02-17,11225.3877,,2014-02-17,855.6416,,2014-02-17,2135.4150
2014-02-18,11242.0735,,2014-02-18,885.8297,,2014-02-18,2119.0660
2014-02-19,11174.2111,,2014-02-19,879.9523,,2014-02-19,2142.5540
2014-02-20,11249.5188,,2014-02-20,862.4860,,2014-02-20,2138.7820
2014-02-21,11233.4430,,2014-02-21,886.3507,,2014-02-21,2113.6930
2014-02-24,11305.3408,,2014-02-24,884.4593,,2014-02-24,2076.6860
2014-02-25,11289.1822,,2014-02-25,897.6022,,2014-02-25,2034.2190
2014-02-26,11290.9031,,2014-02-26,896.2072,,2014-02-26,2041.2540
2014-02-27,11352.7051,,2014-02-27,892.6258,,2014-02-27,2047.3540
2014-02-28,11382.4372,,2014-02-28,890.7907,,2014-02-28,2056.3020
2014-03-03,11294.0219,,2014-03-03,884.8628,,2014-03-03,2075.2350
2014-03-04,11475.0753,,2014-03-04,888.2058,,2014-03-04,2071.4730
2014-03-05,11478.3979,,2014-03-05,892.9788,,2014-03-05,2053.0840
2014-03-06,11496.6210,,2014-03-06,905.6786,,2014-03-06,2059.5780
2014-03-07,11493.7926,,2014-03-07,907.1881,,2014-03-07,2057.9080
2014-03-10,11509.3047,,2014-03-10,897.1233,,2014-03-10,1999.0650
2014-03-11,11453.6145,,2014-03-11,904.0077,,2014-03-11,2001.1570
2014-03-12,11460.0993,,2014-03-12,883.8468,,2014-03-12,1997.6920
2014-03-13,11321.7569,,2014-03-13,884.0695,,2014-03-13,2019.1110
2014-03-14,11294.5961,,2014-03-14,863.1699,,2014-03-14,2004.3390
2014-03-17,11398.5314,,2014-03-17,863.8561,,2014-03-17,2023.6730
2014-03-18,11484.5687,,2014-03-18,868.6537,,2014-03-18,2025.1960
2014-03-19,11416.0100,,2014-03-19,875.8791,,2014-03-19,2021.7340
2014-03-20,11505.3735,,2014-03-20,855.3314,,2014-03-20,1993.4790
2014-03-21,11474.4317,,2014-03-21,856.6543,,2014-03-21,2047.6190
2014-03-24,11414.3403,,2014-03-24,872.1513,,2014-03-24,2066.2790
2014-03-25,11459.7574,,2014-03-25,868.3914,,2014-03-25,2067.3110
2014-03-26,11382.1286,,2014-03-26,870.8157,,2014-03-26,2063.6700
2014-03-27,11365.1244,,2014-03-27,884.2754,,2014-03-27,2046.5880
2014-03-28,11422.5054,,2014-03-28,887.1259,,2014-03-28,2041.7120
2014-03-31,11518.8229,,2014-03-31,888.4836,,2014-03-31,2033.3060
2014-04-01,11596.5137,,2014-04-01,883.9841,,2014-04-01,2047.4600
2014-04-02,11627.7114,,2014-04-02,888.4541,,2014-04-02,2058.9880
2014-04-03,11619.7130,,2014-04-03,894.9079,,2014-04-03,2043.7020
2014-04-04,11480.9345,,2014-04-04,894.5921,,2014-04-04,2058.8310
2014-04-08,11394.5543,,2014-04-08,875.0690,,2014-04-08,2098.2840
2014-04-09,11512.0348,,2014-04-09,863.7871,,2014-04-09,2105.2370
2014-04-10,11275.2751,,2014-04-10,862.8120,,2014-04-10,2134.3000
2014-04-11,11165.5857,,2014-04-11,848.0591,,2014-04-11,2130.5420
2014-04-14,11263.9264,,2014-04-14,844.9588,,2014-04-14,2131.5390
2014-04-15,11347.4122,,2014-04-15,848.8505,,2014-04-15,2101.6010
2014-04-16,11469.7811,,2014-04-16,872.9329,,2014-04-16,2105.1220
2014-04-17,11482.8139,,2014-04-17,872.1308,,2014-04-17,2098.8850
2014-04-18,11484.8652,,2014-04-18,875.3891,,2014-04-18,2097.7480
2014-04-21,11529.1577,,2014-04-21,873.4711,,2014-04-21,2065.8260
2014-04-22,11579.9076,,2014-04-22,865.4270,,2014-04-22,2072.8310
2014-04-23,11552.2149,,2014-04-23,875.2636,,2014-04-23,2067.3820
2014-04-24,11570.1711,,2014-04-24,867.9871,,2014-04-24,2057.0330
2014-04-25,11474.0718,,2014-04-25,871.3109,,2014-04-25,2036.5190
2014-04-28,11509.1458,,2014-04-28,864.5094,,2014-04-28,2003.4870
2014-04-29,11562.2481,,2014-04-29,861.0230,,2014-04-29,2020.3410
2014-04-30,11601.3641,,2014-04-30,861.6081,,2014-04-30,2026.3580
2014-05-05,11601.9670,,2014-05-05,874.6071,,2014-05-05,2027.3530
2014-05-06,11498.6182,,2014-05-06,875.1275,,2014-05-06,2028.0380
2014-05-07,11558.8800,,2014-05-07,851.8304,,2014-05-07,2010.0830
2014-05-08,11545.8156,,2014-05-08,857.9568,,2014-05-08,2015.2740
2014-05-09,11567.8677,,2014-05-09,862.6961,,2014-05-09,2011.1350
2014-05-12,11688.1056,,2014-05-12,856.8383,,2014-05-12,2052.8710
2014-05-13,11695.1228,,2014-05-13,871.9457,,2014-05-13,2050.7280
2014-05-14,11643.3540,,2014-05-14,871.9951,,2014-05-14,2047.9100
2014-05-15,11531.9194,,2014-05-15,867.6869,,2014-05-15,2024.9740
2014-05-16,11572.8756,,2014-05-16,857.4251,,2014-05-16,2026.5040
2014-05-19,11618.8791,,2014-05-19,852.1938,,2014-05-19,2005.1830
2014-05-20,11541.5022,,2014-05-20,857.2813,,2014-05-20,2008.1190
2014-05-21,11638.7609,,2014-05-21,856.6847,,2014-05-21,2024.9510
2014-05-22,11668.7148,,2014-05-22,873.9313,,2014-05-22,2021.2850
2014-05-23,11722.6591,,2014-05-23,878.6202,,2014-05-23,2034.5690
2014-05-26,11726.0800,,2014-05-26,886.7818,,2014-05-26,2041.4760
2014-05-27,11793.9992,,2014-05-27,890.9308,,2014-05-27,2034.5650
2014-05-28,11782.1967,,2014-05-28,891.6123,,2014-05-28,2050.2280
2014-05-29,11847.5451,,2014-05-29,893.7938,,2014-05-29,2040.5950
2014-05-30,11867.4651,,2014-05-30,891.1558,,2014-05-30,2039.2120
2014-06-03,11874.4850,,2014-06-03,908.8204,,2014-06-03,2038.3050
2014-06-04,11893.6701,,2014-06-04,908.7487,,2014-06-04,2024.8340
2014-06-05,11974.1906,,2014-06-05,909.1051,,2014-06-05,2040.8780
2014-06-06,12013.0341,,2014-06-06,911.1779,,2014-06-06,2029.9560
2014-06-09,11997.3836,,2014-06-09,911.6142,,2014-06-09,2030.5020
2014-06-10,11987.7996,,2014-06-10,903.1518,,2014-06-10,2052.5320
2014-06-11,11956.0898,,2014-06-11,907.3937,,2014-06-11,2054.9480
2014-06-12,11873.2647,,2014-06-12,904.9403,,2014-06-12,2051.7130
2014-06-13,11907.9648,,2014-06-13,914.3403,,2014-06-13,2070.7150
2014-06-16,11924.5168,,2014-06-16,903.0011,,2014-06-16,2085.9830
2014-06-17,11948.8703,,2014-06-17,906.1360,,2014-06-17,2066.6980
2014-06-18,12046.9732,,2014-06-18,913.3118,,2014-06-18,2055.5190
2014-06-19,12056.8764,,2014-06-19,929.5192,,2014-06-19,2023.7350
2014-06-20,12076.3614,,2014-06-20,929.0697,,2014-06-20,2026.6740
2014-06-23,12081.2384,,2014-06-23,928.7656,,2014-06-23,2024.3650
2014-06-24,12001.1519,,2014-06-24,931.3389,,2014-06-24,2033.9310
2014-06-25,12061.8869,,2014-06-25,924.1795,,2014-06-25,2025.5020
2014-06-26,12044.3404,,2014-06-26,928.2762,,2014-06-26,2038.6770
2014-06-27,12068.3361,,2014-06-27,916.5835,,2014-06-27,2036.5100
2014-06-30,12060.9031,,2014-06-30,922.0831,,2014-06-30,2048.3270
2014-07-01,12140.4566,,2014-07-01,931.4958,,2014-07-01,2050.3810
2014-07-02,12153.5886,,2014-07-02,932.8188,,2014-07-02,2059.4180
2014-07-03,12226.5381,,2014-07-03,929.8301,,2014-07-03,2063.2290
2014-07-04,12238.6492,,2014-07-04,932.7114,,2014-07-04,2059.3750
2014-07-07,12193.7944,,2014-07-07,930.1947,,2014-07-07,2059.9270
2014-07-08,12101.5592,,2014-07-08,929.1253,,2014-07-08,2064.0210
2014-07-09,12145.7279,,2014-07-09,930.6307,,2014-07-09,2038.6120
2014-07-10,12071.5833,,2014-07-10,923.6397,,2014-07-10,2038.3420
2014-07-11,12094.4560,,2014-07-11,921.8372,,2014-07-11,2046.9610
2014-07-14,12156.1994,,2014-07-14,929.8019,,2014-07-14,2066.6460
2014-07-15,12133.6987,,2014-07-15,933.7011,,2014-07-15,2070.3570
2014-07-16,12193.5910,,2014-07-16,932.2316,,2014-07-16,2067.2760
2014-07-17,12054.9700,,2014-07-17,932.5905,,2014-07-17,2055.5910
2014-07-18,12179.5049,,2014-07-18,926.9715,,2014-07-18,2059.0670
2014-07-21,12147.1006,,2014-07-21,926.2107,,2014-07-21,2054.4790
2014-07-22,12207.4370,,2014-07-22,932.4111,,2014-07-22,2075.4810
2014-07-23,12234.4180,,2014-07-23,931.3480,,2014-07-23,2078.4890
2014-07-24,12241.7820,,2014-07-24,928.1617,,2014-07-24,2105.0620
2014-07-25,12185.9809,,2014-07-25,936.9015,,2014-07-25,2126.6140
2014-07-28,12194.4392,,2014-07-28,941.8115,,2014-07-28,2177.9480
2014-07-29,12137.8469,,2014-07-29,946.1271,,2014-07-29,2183.1920
2014-07-30,12144.4965,,2014-07-30,945.8772,,2014-07-30,2181.2430
2014-07-31,11907.4072,,2014-07-31,937.4336,,2014-07-31,2201.5620
2014-08-01,11874.5177,,2014-08-01,931.7902,,2014-08-01,2185.3030
2014-08-04,11956.0062,,2014-08-04,931.1316,,2014-08-04,2223.3310
2014-08-05,11839.0548,,2014-08-05,921.3022,,2014-08-05,2219.9450
2014-08-06,11844.2323,,2014-08-06,911.8917,,2014-08-06,2217.4650
2014-08-07,11776.3182,,2014-08-07,919.6848,,2014-08-07,2187.6690
2014-08-08,11891.2544,,2014-08-08,892.5101,,2014-08-08,2194.4250
2014-08-11,11916.3192,,2014-08-11,912.2493,,2014-08-11,2224.6540
2014-08-12,11895.8499,,2014-08-12,912.3167,,2014-08-12,2221.5950
2014-08-13,11978.7522,,2014-08-13,915.3433,,2014-08-13,2222.8770
2014-08-14,12033.1553,,2014-08-14,920.8498,,2014-08-14,2206.4660
2014-08-15,12031.0482,,2014-08-15,919.9123,,2014-08-15,2226.7340
2014-08-18,12131.7219,,2014-08-18,920.3826,,2014-08-18,2239.4660
2014-08-19,12196.3517,,2014-08-19,926.1840,,2014-08-19,2245.3300
2014-08-20,12232.9286,,2014-08-20,923.8825,,2014-08-20,2240.2110
2014-08-21,12279.3748,,2014-08-21,925.1968,,2014-08-21,2230.4580
2014-08-22,12251.9243,,2014-08-22,921.3186,,2014-08-22,2240.8120
2014-08-25,12317.7762,,2014-08-25,923.8048,,2014-08-25,2229.2740
2014-08-26,12332.7233,,2014-08-26,919.1356,,2014-08-26,2207.1060
2014-08-27,12332.3399,,2014-08-27,920.0031,,2014-08-27,2209.4650
2014-08-28,12307.5060,,2014-08-28,917.1407,,2014-08-28,2195.8180
2014-08-29,12350.1750,,2014-08-29,916.1589,,2014-08-29,2217.2000
2014-09-01,12356.7862,,2014-09-01,915.5492,,2014-09-01,2235.5110
2014-09-02,12350.8640,,2014-09-02,925.0898,,2014-09-02,2266.0460
2014-09-03,12343.8422,,2014-09-03,921.9959,,2014-09-03,2288.6270
2014-09-04,12318.7085,,2014-09-04,920.9442,,2014-09-04,2306.8620
2014-09-05,12388.9761,,2014-09-05,916.1634,,2014-09-05,2326.4320
2014-09-09,12232.8829,,2014-09-09,915.9548,,2014-09-09,2326.5270
2014-09-10,12258.5258,,2014-09-10,914.8019,,2014-09-10,2318.3050
2014-09-11,12274.9295,,2014-09-11,915.1290,,2014-09-11,2311.6790
2014-09-12,12204.7173,,2014-09-12,914.3952,,2014-09-12,2331.9500
2014-09-15,12192.8757,,2014-09-15,913.0556,,2014-09-15,2339.1400
2014-09-16,12286.1309,,2014-09-16,912.5103,,2014-09-16,2296.5550
2014-09-17,12299.6477,,2014-09-17,910.6432,,2014-09-17,2307.8930
2014-09-18,12367.8526,,2014-09-18,911.3365,,2014-09-18,2315.9280
2014-09-19,12354.9132,,2014-09-19,921.5259,,2014-09-19,2329.4510
2014-09-22,12261.8921,,2014-09-22,914.5151,,2014-09-22,2289.8660
2014-09-23,12188.0872,,2014-09-23,916.0709,,2014-09-23,2309.7180
2014-09-24,12281.9515,,2014-09-24,914.1238,,2014-09-24,2343.5750
2014-09-25,12090.2487,,2014-09-25,921.5693,,2014-09-25,2345.1030
2014-09-26,12196.1138,,2014-09-26,918.9996,,2014-09-26,2347.7180
2014-09-29,12171.1834,,2014-09-29,917.7834,,2014-09-29,2357.7110
2014-09-30,12134.5142,,2014-09-30,909.6311,,2014-09-30,2363.8700
2014-10-08,12107.2953,,2014-10-08,886.4755,,2014-10-08,2382.7940
2014-10-09,11850.9715,,2014-10-09,878.9556,,2014-10-09,2389.3710
2014-10-10,11716.9811,,2014-10-10,872.4833,,2014-10-10,2374.5400
2014-10-13,11519.5274,,2014-10-13,876.6450,,2014-10-13,2366.0090
2014-10-14,11530.5802,,2014-10-14,856.0413,,2014-10-14,2359.4750
2014-10-15,11445.9323,,2014-10-15,863.3660,,2014-10-15,2373.6700
2014-10-16,11436.4150,,2014-10-16,853.5291,,2014-10-16,2356.4990
2014-10-17,11586.0271,,2014-10-17,838.7002,,2014-10-17,2341.1840
2014-10-20,11697.2854,,2014-10-20,866.4930,,2014-10-20,2356.7280
2014-10-21,11921.4005,,2014-10-21,850.4171,,2014-10-21,2339.6570
2014-10-22,11839.5857,,2014-10-22,872.0093,,2014-10-22,2326.5530
2014-10-23,11989.5446,,2014-10-23,867.6441,,2014-10-23,2302.4180
2014-10-24,12075.6839,,2014-10-24,869.2686,,2014-10-24,2302.2800
2014-10-27,12053.4317,,2014-10-27,874.2793,,2014-10-27,2290.4370
2014-10-28,12192.3756,,2014-10-28,872.1799,,2014-10-28,2337.8710
2014-10-29,12172.3132,,2014-10-29,882.1711,,2014-10-29,2373.0300
2014-10-30,12258.5205,,2014-10-30,882.4648,,2014-10-30,2391.0760
2014-10-31,12403.1371,,2014-10-31,921.8296,,2014-10-31,2420.1780
2014-11-03,12414.5760,,2014-11-03,894.1232,,2014-11-03,2430.0320
2014-11-04,12383.0670,,2014-11-04,911.0793,,2014-11-04,2430.6770
2014-11-05,12445.5626,,2014-11-05,914.9879,,2014-11-05,2419.2540
2014-11-06,12505.1444,,2014-11-06,899.5228,,2014-11-06,2425.8640
2014-11-07,12517.0336,,2014-11-07,900.9059,,2014-11-07,2418.1710
2014-11-10,12510.2284,,2014-11-10,901.8864,,2014-11-10,2473.6730
2014-11-11,12526.2868,,2014-11-11,914.9241,,2014-11-11,2469.6730
2014-11-12,12520.5621,,2014-11-12,911.3749,,2014-11-12,2494.4760
2014-11-13,12525.1570,,2014-11-13,924.3224,,2014-11-13,2485.6060
2014-11-14,12524.2908,,2014-11-14,925.3699,,2014-11-14,2478.8240
2014-11-17,12535.5420,,2014-11-17,894.1628,,2014-11-17,2474.0090
2014-11-18,12604.2074,,2014-11-18,913.1648,,2014-11-18,2456.3660
2014-11-19,12578.5262,,2014-11-19,906.2590,,2014-11-19,2450.9860
2014-11-20,12607.3747,,2014-11-20,898.6413,,2014-11-20,2452.6600
2014-11-21,12667.2075,,2014-11-21,902.0351,,2014-11-21,2486.7910
2014-11-24,12710.3162,,2014-11-24,905.8190,,2014-11-24,2532.8790
2014-11-25,12689.4972,,2014-11-25,904.2910,,2014-11-25,2567.5970
2014-11-26,12717.6412,,2014-11-26,905.2499,,2014-11-26,2604.3450
2014-11-27,12710.5936,,2014-11-27,899.6990,,2014-11-27,2630.4860
2014-11-28,12683.4468,,2014-11-28,906.8122,,2014-11-28,2682.8350
2014-12-01,12601.7559,,2014-12-01,913.5946,,2014-12-01,2680.1550
2014-12-02,12673.1179,,2014-12-02,916.3679,,2014-12-02,2763.5450
2014-12-03,12731.4078,,2014-12-03,912.7085,,2014-12-03,2779.5250
2014-12-04,12723.8679,,2014-12-04,917.0415,,2014-12-04,2899.4560
2014-12-05,12737.1683,,2014-12-05,918.6739,,2014-12-05,2937.6470
2014-12-08,12625.9917,,2014-12-08,906.5569,,2014-12-08,3020.2580
2014-12-09,12612.4838,,2014-12-09,905.3116,,2014-12-09,2856.2690
2014-12-10,12398.9637,,2014-12-10,895.4593,,2014-12-10,2940.0060
2014-12-11,12446.6535,,2014-12-11,899.6110,,2014-12-11,2925.7430
2014-12-12,12251.0559,,2014-12-12,897.1726,,2014-12-12,2938.1730
2014-12-15,12166.9854,,2014-12-15,885.3898,,2014-12-15,2953.4210
2014-12-16,12069.6179,,2014-12-16,872.7679,,2014-12-16,3021.5180
2014-12-17,12306.2056,,2014-12-17,882.2789,,2014-12-17,3061.0200
2014-12-18,12613.6970,,2014-12-18,889.6391,,2014-12-18,3057.5210
2014-12-19,12673.4133,,2014-12-19,908.5065,,2014-12-19,3108.5960
2014-12-22,12724.8219,,2014-12-22,907.5043,,2014-12-22,3127.4450
2014-12-23,12749.1269,,2014-12-23,902.2314,,2014-12-23,3032.6120
2014-12-24,12750.8904,,2014-12-24,910.1194,,2014-12-24,2972.5320
2014-12-25,12743.8120,,2014-12-25,909.2792,,2014-12-25,3072.5360
2014-12-26,12780.3481,,2014-12-26,909.3550,,2014-12-26,3157.6030
2014-12-29,12795.3337,,2014-12-29,904.4169,,2014-12-29,3168.0160
2014-12-30,12736.7348,,2014-12-30,889.1691,,2014-12-30,3165.8150
2014-12-31,12598.4091,,2014-12-31,896.4635,,2014-12-31,3234.6770
2015-01-05,12375.6484,,2015-01-05,890.6296,,2015-01-05,3350.5190
2015-01-06,12267.1878,,2015-01-06,869.2142,,2015-01-06,3351.4460
2015-01-07,12412.4867,,2015-01-07,874.0185,,2015-01-07,3373.9540
2015-01-08,12641.3306,,2015-01-08,884.2945,,2015-01-08,3293.4560
2015-01-09,12533.8674,,2015-01-09,882.9831,,2015-01-09,3285.4120
2015-01-12,12419.6445,,2015-01-12,893.1985,,2015-01-12,3229.3160
2015-01-13,12379.9321,,2015-01-13,888.1679,,2015-01-13,3235.3010
2015-01-14,12309.9780,,2015-01-14,876.1445,,2015-01-14,3222.4370
2015-01-15,12193.7455,,2015-01-15,893.6558,,2015-01-15,3336.4550
2015-01-16,12356.4271,,2015-01-16,890.0060,,2015-01-16,3376.4950
2015-01-19,12364.9087,,2015-01-19,889.0987,,2015-01-19,3116.3510
2015-01-20,12383.2646,,2015-01-20,905.6004,,2015-01-20,3173.0520
2015-01-21,12450.3928,,2015-01-21,895.1289,,2015-01-21,3323.6110
2015-01-22,12636.1748,,2015-01-22,902.0101,,2015-01-22,3343.3440
2015-01-23,12586.2742,,2015-01-23,908.8423,,2015-01-23,3351.7640
2015-01-26,12627.2413,,2015-01-26,914.6692,,2015-01-26,3383.1820
2015-01-27,12454.1306,,2015-01-27,923.6495,,2015-01-27,3352.9600
2015-01-28,12269.6369,,2015-01-28,929.2574,,2015-01-28,3305.7380
2015-01-29,12397.3369,,2015-01-29,921.3159,,2015-01-29,3262.3050
2015-01-30,12243.2536,,2015-01-30,920.8357,,2015-01-30,3210.3630
2015-02-02,12404.9877,,2015-02-02,922.5697,,2015-02-02,3128.3000
2015-02-03,12580.8291,,2015-02-03,909.8721,,2015-02-03,3204.9070
2015-02-04,12518.1310,,2015-02-04,924.5627,,2015-02-04,3174.1260
2015-02-05,12656.8602,,2015-02-05,919.7978,,2015-02-05,3136.5310
2015-02-06,12592.0148,,2015-02-06,925.9991,,2015-02-06,3075.9070
2015-02-09,12548.7676,,2015-02-09,918.1510,,2015-02-09,3095.1240
2015-02-10,12679.4224,,2015-02-10,916.6860,,2015-02-10,3141.5930
2015-02-11,12683.1917,,2015-02-11,910.5605,,2015-02-11,3157.7040
2015-02-12,12809.2744,,2015-02-12,921.2449,,2015-02-12,3173.4160
2015-02-13,12852.0323,,2015-02-13,926.6402,,2015-02-13,3203.8270
2015-02-16,12848.8868,,2015-02-16,935.5639,,2015-02-16,3222.3630
2015-02-17,12881.3852,,2015-02-17,937.5411,,2015-02-17,3246.9060
2015-02-25,12975.7182,,2015-02-25,965.8357,,2015-02-25,3228.8430
2015-02-26,12955.5110,,2015-02-26,975.8842,,2015-02-26,3298.3590
2015-02-27,12937.4138,,2015-02-27,974.4664,,2015-02-27,3310.3030
2015-03-02,13024.7011,,2015-03-02,971.0340,,2015-03-02,3336.2850
2015-03-03,12971.9105,,2015-03-03,967.7954,,2015-03-03,3263.0520
2015-03-04,12911.2058,,2015-03-04,965.9661,,2015-03-04,3279.5330
2015-03-05,12927.2789,,2015-03-05,969.0576,,2015-03-05,3248.4760
2015-03-06,12745.0842,,2015-03-06,976.1718,,2015-03-06,3241.1870
2015-03-09,12801.5949,,2015-03-09,962.9781,,2015-03-09,3302.4080
2015-03-10,12586.3020,,2015-03-10,950.2594,,2015-03-10,3286.0680
2015-03-11,12567.2663,,2015-03-11,955.9293,,2015-03-11,3290.9000
2015-03-12,12729.7641,,2015-03-12,967.4451,,2015-03-12,3349.3230
2015-03-13,12646.4799,,2015-03-13,980.6190,,2015-03-13,3372.9110
2015-03-16,12823.2522,,2015-03-16,981.2989,,2015-03-16,3449.3050
2015-03-17,12774.4534,,2015-03-17,989.4794,,2015-03-17,3502.8470
2015-03-18,12923.6822,,2015-03-18,994.9508,,2015-03-18,3577.3010
2015-03-19,12840.6534,,2015-03-19,999.8876,,2015-03-19,3582.2710
2015-03-20,12963.9718,,2015-03-20,999.0969,,2015-03-20,3617.3180
2015-03-23,12931.2400,,2015-03-23,1013.1616,,2015-03-23,3687.7280
2015-03-24,12841.3917,,2015-03-24,1012.5025,,2015-03-24,3691.4100
2015-03-25,12656.9081,,2015-03-25,1014.9152,,2015-03-25,3660.7270
2015-03-26,12619.6206,,2015-03-26,1003.2105,,2015-03-26,3682.0950
2015-03-27,12654.0445,,2015-03-27,996.4885,,2015-03-27,3691.0960
2015-03-30,12809.9308,,2015-03-30,1002.5794,,2015-03-30,3786.5680
2015-03-31,12701.3940,,2015-03-31,984.7808,,2015-03-31,3747.8990
2015-04-01,12653.4995,,2015-04-01,977.4961,,2015-04-01,3810.2940
2015-04-02,12690.3076,,2015-04-02,993.3920,,2015-04-02,3825.7840
2015-04-03,12680.3862,,2015-04-03,998.2634,,2015-04-03,3863.9290
2015-04-07,12728.9411,,2015-04-07,1009.9166,,2015-04-07,3961.3780
2015-04-08,12771.4156,,2015-04-08,1012.1894,,2015-04-08,3994.8110
2015-04-09,12826.8799,,2015-04-09,1020.3328,,2015-04-09,3957.5340
2015-04-10,12900.3422,,2015-04-10,1016.5433,,2015-04-10,4034.3100
2015-04-13,12846.4740,,2015-04-13,1020.6525,,2015-04-13,4121.7150
2015-04-14,12869.9247,,2015-04-14,1023.3858,,2015-04-14,4135.5650
2015-04-15,12922.0684,,2015-04-15,1024.2663,,2015-04-15,4084.1630
2015-04-16,12904.6412,,2015-04-16,1027.8756,,2015-04-16,4194.8230
2015-04-17,12750.7655,,2015-04-17,1015.6215,,2015-04-17,4287.2960
2015-04-20,12866.0002,,2015-04-20,1014.2981,,2015-04-20,4217.0770
2015-04-21,12852.1931,,2015-04-21,1025.5172,,2015-04-21,4293.6230
2015-04-22,12919.6868,,2015-04-22,1033.7751,,2015-04-22,4398.4940
2015-04-23,12948.2463,,2015-04-23,1033.7692,,2015-04-23,4414.5080
2015-04-24,12968.9453,,2015-04-24,1028.1892,,2015-04-24,4393.6860
2015-04-27,12910.8082,,2015-04-27,1031.6789,,2015-04-27,4527.3960
2015-04-28,12944.2345,,2015-04-28,1034.5203,,2015-04-28,4476.2150
2015-04-29,12887.3908,,2015-04-29,1035.9044,,2015-04-29,4476.6200
2015-04-30,12750.1825,,2015-04-30,1005.7100,,2015-04-30,4441.6550
2015-05-04,12933.2781,,2015-05-04,997.2655,,2015-05-04,4480.4640
2015-05-05,12783.3163,,2015-05-05,998.2811,,2015-05-05,4298.7060
2015-05-06,12721.3653,,2015-05-06,999.4530,,2015-05-06,4229.2660
2015-05-07,12760.3944,,2015-05-07,990.3929,,2015-05-07,4112.2140
2015-05-08,12939.3167,,2015-05-08,992.5827,,2015-05-08,4205.9170
2015-05-11,12870.3034,,2015-05-11,1005.5520,,2015-05-11,4333.5840
2015-05-12,12837.1684,,2015-05-12,1002.5742,,2015-05-12,4401.2190
2015-05-13,12826.5393,,2015-05-13,1010.8271,,2015-05-13,4375.7600
2015-05-14,12958.4362,,2015-05-14,1005.6364,,2015-05-14,4378.3110
2015-05-15,12966.6962,,2015-05-15,1013.7985,,2015-05-15,4308.6910
2015-05-18,13004.9407,,2015-05-18,1020.6692,,2015-05-18,4283.4910
2015-05-19,13000.6157,,2015-05-19,1024.1491,,2015-05-19,4417.5520
2015-05-20,12994.2581,,2015-05-20,1026.0660,,2015-05-20,4446.2880
2015-05-21,13027.6204,,2015-05-21,1022.4470,,2015-05-21,4529.4220
2015-05-22,12996.8174,,2015-05-22,1026.8382,,2015-05-22,4657.5960
2015-05-25,13004.0460,,2015-05-25,1029.5481,,2015-05-25,4813.7980
2015-05-26,12871.8122,,2015-05-26,1030.7847,,2015-05-26,4910.8970
2015-05-27,12995.2729,,2015-05-27,1021.7865,,2015-05-27,4941.7140
2015-05-28,12979.6590,,2015-05-28,1019.7429,,2015-05-28,4620.2660
2015-05-29,12896.3838,,2015-05-29,1019.3359,,2015-05-29,4611.7440
2015-06-01,12925.2658,,2015-06-01,1016.2133,,2015-06-01,4828.7380
2015-06-02,12916.0260,,2015-06-02,1010.6428,,2015-06-02,4910.5270
2015-06-03,12933.0346,,2015-06-03,1011.6576,,2015-06-03,4909.9780
2015-06-04,12818.9958,,2015-06-04,1010.5390,,2015-06-04,4947.1020
2015-06-05,12804.1432,,2015-06-05,1008.7838,,2015-06-05,5023.0960
2015-06-08,12726.2332,,2015-06-08,1004.1412,,2015-06-08,5131.8810
2015-06-09,12726.1497,,2015-06-09,989.2605,,2015-06-09,5113.5340
2015-06-10,12878.1400,,2015-06-10,989.1876,,2015-06-10,5106.0359
2015-06-11,12895.6789,,2015-06-11,1017.1510,,2015-06-11,5121.5925
2015-06-12,12809.0426,,2015-06-12,1013.8645,,2015-06-12,5166.3500
2015-06-15,12750.2499,,2015-06-15,1013.8236,,2015-06-15,5062.9929
2015-06-16,12819.8615,,2015-06-16,1007.0627,,2015-06-16,4887.4320
2015-06-17,12845.8710,,2015-06-17,1005.3021,,2015-06-17,4967.8983
2015-06-18,12966.2916,,2015-06-18,993.2639,,2015-06-18,4785.3560
2015-06-19,12892.8829,,2015-06-19,1006.1499,,2015-06-19,4478.3643
2015-06-23,12982.8980,,2015-06-23,1036.1218,,2015-06-23,4576.4922
2015-06-24,12892.2798,,2015-06-24,1034.4491,,2015-06-24,4690.1497
