date	SPX.GI	N225.GI	000001.SH
2008/8/21	8754.6819	796.6051	2431.716
2008/8/22	8833.0915	796.6306	2405.226
2008/8/25	8664.8055	798.9663	2413.374
2008/8/26	8697.1284	798.631	2350.084
2008/8/27	8768.4769	798.4756	2342.147
2008/8/28	8887.0262	796.7516	2350.143
2008/8/29	8767.5016	817.4073	2397.369
2008/9/1	8764.2946	807.1287	2325.135
2008/9/2	8733.4091	794.2201	2304.891
2008/9/3	8720.6082	797.2616	2276.672
2008/9/4	8461.154	793.2297	2277.411
2008/9/5	8501.8727	782.8772	2202.446
2008/9/8	8678.6564	796.5024	2143.421
2008/9/9	8375.5259	787.1809	2145.779
2008/9/10	8427.8928	788.3694	2150.759
2008/9/11	8550.6216	770.8082	2078.981
2008/9/12	8568.8879	780.3644	2079.673
2008/9/16	8277.0479	759.357	1986.636
2008/9/17	7896.9873	754.0898	1929.047
2008/9/18	8228.5189	748.1602	1895.837
2008/9/19	8569.1842	766.4279	2075.091
2008/9/22	8237.5443	771.9479	2236.41
2008/9/23	8080.9654	781.2939	2201.51
2008/9/24	8079.2137	782.6915	2216.811
2008/9/25	8246.2448	772.212	2297.501
2008/9/26	8270.6661	764.6826	2293.784
2008/10/6	7220.7782	685.7046	2173.738
2008/10/7	6808.7339	683.0757	2157.839
2008/10/8	6729.0116	618.9785	2092.224
2008/10/9	6215.6635	626.647	2074.583
2008/10/10	6144.1005	571.1564	2000.572
2008/10/13	6851.5761	561.0509	2073.568
2008/10/14	6814.2127	627.4604	2017.321
2008/10/15	6198.0052	641.3036	1994.667
2008/10/16	6463.6437	577.5853	1909.941
2008/10/17	6424.9911	584.5029	1930.651
2008/10/20	6729.9864	604.2391	1974.006
2008/10/21	6523.851	623.6304	1958.529
2008/10/22	6128.5048	590.3994	1895.822
2008/10/23	6208.5664	592.6832	1875.561
2008/10/24	5993.3367	537.6232	1839.621
2008/10/27	5803.2171	520.1053	1723.351
2008/10/28	6430.1728	557.8331	1771.821
2008/10/29	6354.1889	573.2317	1719.812
2008/10/30	6513.5724	625.8527	1763.607
2008/10/31	6612.4938	595.7828	1728.786
2008/11/3	6598.6694	594.8393	1719.774
2008/11/4	6865.3501	627.9504	1706.703
2008/11/5	6501.7025	651.4528	1760.609
2008/11/6	6175.987	618.8996	1717.722
2008/11/7	6356.5204	603.651	1747.713
2008/11/10	6273.7921	624.9477	1874.801
2008/11/11	6136.6822	616.7215	1843.607
2008/11/12	5820.4419	608.677	1859.11
2008/11/13	6223.6551	588.4613	1927.613
2008/11/14	5963.6101	595.1176	1986.438
2008/11/17	5810.8777	603.322	2030.485
2008/11/18	5866.0714	589.4682	1902.43
2008/11/19	5508.3768	585.3138	2017.474
2008/11/20	5139.6919	549.0419	1983.76
2008/11/21	5465.565	573.6588	1969.389
2008/11/24	5818.203	567.3144	1897.06
2008/11/25	5854.6019	588.119	1888.715
2008/11/26	6060.3689	590.0624	1897.884
2008/11/27	6062.1443	599.5933	1917.861
2008/11/28	6125.7108	609.3764	1871.156
2008/12/1	5591.4466	603.4662	1894.615
2008/12/2	5816.6403	574.8593	1889.638
2008/12/3	5964.7431	589.9502	1965.414
2008/12/4	5789.926	582.3999	2001.504
2008/12/5	5999.5026	586.0778	2018.656
2008/12/8	6232.2637	615.6167	2090.773
2008/12/9	6085.5233	618.4146	2037.74
2008/12/10	6157.5459	640.4334	2079.117
2008/12/11	5981.5581	644.6492	2031.681
2008/12/12	6021.8398	615.8537	1954.215
2008/12/15	5944.6668	650.534	1964.374
2008/12/16	6249.1647	647.3139	1975.006
2008/12/17	6181.982	661.4846	1976.819
2008/12/18	6048.41	677.3007	2015.694
2008/12/19	6069.2813	653.5177	2018.463
2008/12/22	5959.9445	663.1556	1987.755
2008/12/23	5903.0649	661.3585	1897.225
2008/12/24	5937.8856	642.2064	1863.8
2008/12/25	5935.1943	650.062	1852.419
2008/12/26	5966.6354	657.9111	1851.518
2008/12/29	5943.0943	659.3092	1850.48
2008/12/30	6087.7916	666.2744	1832.91
2008/12/31	6173.3525	670.2257	1820.805
2009/1/5	6340.6974	671.7591	1880.716
2009/1/6	6391.8525	666.7607	1937.145
2009/1/7	6200.4887	672.2286	1924.012
2009/1/8	6220.2789	654.1566	1878.181
2009/1/9	6086.6997	661.2754	1904.861
2009/1/12	5951.0119	671.7205	1900.347
2009/1/13	5962.6077	643.3444	1863.367
2009/1/14	5763.4365	646.4106	1928.869
2009/1/15	5770.5066	615.1311	1920.206
2009/1/16	5813.3756	625.228	1954.438
2009/1/19	5811.4203	620.0564	1986.672
2009/1/20	5506.497	610.2899	1994.107
2009/1/21	5746.9055	601.2279	1985.016
2009/1/22	5657.8658	619.4687	2004.951
2009/1/23	5688.8741	594.1769	1990.657
2009/2/2	5645.762	599.8319	2011.683
2009/2/3	5735.2407	598.7767	2060.808
2009/2/4	5688.1256	614.384	2107.749
2009/2/5	5782.2306	608.0767	2098.018
2009/2/6	5938.7051	607.4507	2181.239
2009/2/9	5945.3502	592.7843	2224.714
2009/2/10	5651.9843	594.9443	2265.161
2009/2/11	5697.529	600.5303	2260.82
2009/2/12	5706.6027	583.3651	2248.091
2009/2/13	5650.1285	586.2322	2320.792
2009/2/16	5650.8726	578.3719	2389.387
2009/2/17	5394.1348	569.0782	2319.441
2009/2/18	5389.8756	558.2267	2209.862
2009/2/19	5325.5349	551.0661	2227.125
2009/2/20	5263.8308	538.4589	2261.478
2009/2/23	5079.6942	541.0708	2305.777
2009/2/24	5285.0304	526.8398	2200.654
2009/2/25	5228.9329	527.2471	2206.574
2009/2/26	5147.174	522.9277	2121.251
2009/2/27	5026.4719	529.2142	2082.852
2009/3/2	4792.8379	512.6973	2093.447
2009/3/3	4762.3401	508.5963	2071.431
2009/3/4	4875.6744	506.8238	2198.107
2009/3/5	4666.2531	511.7438	2221.076
2009/3/6	4672.2691	497.9423	2193.007
2009/3/9	4624.4208	493.5987	2118.748
2009/3/10	4919.0417	486.8148	2158.568
2009/3/11	4930.2792	510.8258	2139.025
2009/3/12	5130.4821	506.3753	2133.881
2009/3/13	5169.8088	530.2281	2128.848
2009/3/16	5152.7628	535.2689	2153.291
2009/3/17	5316.6605	551.5822	2218.326
2009/3/18	5426.9198	551.7379	2223.725
2009/3/19	5355.0716	563.0746	2265.759
2009/3/20	5248.5902	573.2931	2281.087
2009/3/23	5620.8728	583.4998	2325.48
2009/3/24	5505.8802	593.5019	2338.42
2009/3/25	5561.0793	591.7252	2291.555
2009/3/26	5690.1828	603.904	2361.704
2009/3/27	5574.2573	598.4011	2374.438
2009/3/30	5381.98	573.3712	2358.04
2009/3/31	5454.1595	564.6666	2373.213
2009/4/1	5543.6507	577.0752	2408.017
2009/4/2	5702.2364	604.6208	2425.291
2009/4/3	5755.96	598.5416	2419.778
2009/4/7	5573.4687	599.9802	2439.182
2009/4/8	5641.6189	584.0739	2347.385
2009/4/9	5855.2728	610.6431	2379.876
2009/4/10	5854.3306	608.923	2444.226
2009/4/13	5867.8738	607.8162	2513.701
2009/4/14	5747.1084	601.4526	2527.181
2009/4/15	5818.9734	604.1211	2536.056
2009/4/16	5910.0855	601.4251	2534.134
2009/4/17	5940.3246	610.285	2503.935
2009/4/20	5687.6376	614.7725	2557.456
2009/4/21	5809.6167	607.2233	2535.828
2009/4/22	5761.9526	604.5575	2461.346
2009/4/23	5818.1876	617.769	2463.954
2009/4/24	5914.0121	607.8003	2448.595
2009/4/27	5852.763	614.5874	2405.348
2009/4/28	5838.5194	600.6879	2401.438
2009/4/29	5963.9035	598.7768	2468.192
2009/4/30	5956.9283	616.239	2477.569
2009/5/4	6189.6449	616.458	2559.911
2009/5/5	6164.0064	619.2321	2567.337
2009/5/6	6274.1371	620.5787	2592.52
2009/5/7	6191.122	648.9555	2597.447
2009/5/8	6339.3	648.4127	2625.645
2009/5/11	6202.8353	654.7008	2579.747
2009/5/12	6198.7621	650.289	2618.172
2009/5/13	6031.4281	664.3891	2663.766
2009/5/14	6095.2028	650.5382	2639.887
2009/5/15	6025.3911	658.7244	2645.263
2009/5/18	6210.3173	650.5507	2652.779
2009/5/19	6198.8954	658.4214	2676.682
2009/5/20	6166.2731	665.0113	2651.414
2009/5/21	6062.4081	668.8531	2610.622
2009/5/22	6052.7993	669.1019	2597.601
2009/5/25	6052.4445	674.0589	2610.01
2009/5/26	6216.1884	670.099	2588.575
2009/5/27	6101.7431	677.9113	2632.93
2009/6/1	6441.405	695.956	2721.28
2009/6/2	6453.4245	688.6081	2724.302
2009/6/3	6364.1072	695.8183	2778.589
2009/6/4	6439.358	686.6605	2767.244
2009/6/5	6424.011	690.8034	2753.891
2009/6/8	6420.4306	683.7276	2768.336
2009/6/9	6443.0169	679.6555	2787.887
2009/6/10	6417.7754	701.9022	2816.247
2009/6/11	6458.1342	694.4211	2797.32
2009/6/12	6464.9798	708.5749	2743.762
2009/6/15	6312.9796	699.1124	2789.549
2009/6/16	6234.9565	685.0033	2776.022
2009/6/17	6223.7921	697.2045	2810.123
2009/6/18	6274.3957	692.2149	2853.903
2009/6/19	6295.5016	691.7026	2880.492
2009/6/22	6101.9637	697.9993	2896.302
2009/6/23	6117.0239	683.9335	2892.697
2009/6/24	6154.8617	686.408	2922.299
2009/6/25	6288.2286	697.4809	2925.046
2009/6/26	6278.6599	704.8604	2928.211
2009/6/29	6334.4645	701.2204	2975.314
2009/6/30	6280.7023	708.2144	2959.362
2009/7/1	6308.6522	704.6913	3008.15
2009/7/2	6123.3554	698.8463	3060.254
2009/7/3	6125.5068	700.2097	3088.367
2009/7/6	6140.9538	690.9624	3124.667
2009/7/7	6019.7256	691.6694	3089.45
2009/7/8	6010.5612	681.026	3080.774
2009/7/9	6030.9111	683.4039	3123.035
2009/7/10	6005.6008	682.0486	3113.932
2009/7/13	6155.9736	666.3305	3080.556
2009/7/14	6189.7859	680.4003	3145.157
2009/7/15	6372.8159	676.544	3188.551
2009/7/16	6426.6653	676.9283	3183.742
2009/7/17	6423.7358	684.1766	3189.741
2009/7/20	6498.2153	679.2253	3266.92
2009/7/21	6520.8314	701.4606	3213.206
2009/7/22	6517.1568	710.5783	3296.615
2009/7/23	6668.7441	713.9053	3328.49
2009/7/24	6690.1085	716.3557	3372.603
2009/7/27	6709.8609	726.4844	3435.212
2009/7/28	6691.7842	725.2841	3438.371
2009/7/29	6661.6397	729.9231	3266.432
2009/7/30	6742.9561	730.0044	3321.56
2009/7/31	6746.7596	741.3419	3412.062
2009/8/3	6848.9655	746.2785	3462.59
2009/8/4	6868.8912	744.1787	3471.442
2009/8/5	6849.1792	735.1167	3428.501
2009/8/6	6810.4552	746.9348	3356.33
2009/8/7	6903.1952	745.4119	3260.69
2009/8/10	6883.1257	740.3501	3249.76
2009/8/11	6796.5811	746.3808	3264.726
2009/8/12	6874.8119	743.0764	3112.719
2009/8/13	6921.3006	747.9826	3140.56
2009/8/14	6860.7462	758.8854	3046.972
2009/8/17	6694.789	742.0919	2870.63
2009/8/18	6763.3058	741.6176	2910.884
2009/8/19	6808.7115	735.6676	2785.584
2009/8/20	6882.1504	752.6934	2911.582
2009/8/21	7009.8019	743.7643	2960.771
2009/8/24	7005.5661	763.3487	2993.429
2009/8/25	7022.3708	761.0376	2915.803
2009/8/26	7023.3962	773.3473	2967.595
2009/8/27	7043.6554	761.8661	2946.395
2009/8/28	7028.5179	767.5912	2860.688
2009/8/31	6972.0593	771.5892	2667.745
2009/9/1	6817.4116	772.8011	2683.724
2009/9/2	6795.7341	757.0942	2714.974
2009/9/3	6852.8315	757.6198	2845.024
2009/9/4	6943.0284	750.9224	2861.609
2009/9/7	6942.5202	757.4641	2881.116
2009/9/8	7003.4137	764.1934	2930.475
2009/9/9	7057.0904	762.2012	2946.259
2009/9/10	7130.2232	778.8632	2924.883
2009/9/11	7119.969	778.3846	2989.792
2009/9/14	7164.8935	768.8272	3026.741
2009/9/15	7187.7787	766.3624	3033.728
2009/9/16	7297.6002	771.6738	2999.71
2009/9/17	7274.3133	781.99	3060.26
2009/9/18	7293.3909	776.5357	2962.667
2009/9/21	7269.4985	774.1816	2967.011
2009/9/22	7318.259	771.0704	2897.553
2009/9/23	7242.6656	778.755	2842.721
2009/9/24	7174.7258	788.7815	2853.554
2009/9/25	7131.7577	771.2523	2838.842
2009/9/28	7257.9211	768.1706	2763.525
2009/9/29	7242.6936	766.7466	2754.54
2009/9/30	7218.7993	767.5618	2779.426
2009/10/9	7315.0622	770.631	2911.715
2009/10/12	7347.6872	759.7231	2894.483
2009/10/13	7326.6681	766.534	2936.191
2009/10/14	7455.1113	765.0689	2970.532
2009/10/15	7485.8862	780.0008	2979.788
2009/10/16	7425.5914	770.9787	2976.633
2009/10/19	7495.9805	768.1477	3038.273
2009/10/20	7448.9939	778.2607	3084.454
2009/10/21	7383.5829	776.7299	3070.589
2009/10/22	7461.5152	770.2842	3051.412
2009/10/23	7370.969	767.4607	3107.847
2009/10/26	7285.1346	768.7924	3109.566
2009/10/27	7261.3888	756.9169	3021.459
2009/10/28	7119.3904	750.6315	3031.329
2009/10/29	7279.9321	745.9472	2960.466
2009/10/30	7075.2089	750.2273	2995.848
2009/11/2	7120.9932	743.0342	3076.649
2009/11/3	7137.9549	740.6227	3114.227
2009/11/4	7145.502	745.2438	3128.537
2009/11/5	7282.6297	731.9079	3155.053
2009/11/6	7300.7527	736.7465	3164.037
2009/11/9	7462.7851	744.8457	3175.585
2009/11/10	7461.7607	748.6455	3178.61
2009/11/11	7499.1982	752.301	3175.192
2009/11/12	7422.37	744.2	3172.945
2009/11/13	7465.516	738.4596	3187.647
2009/11/16	7573.413	747.0572	3275.048
2009/11/17	7580.2657	745.0791	3282.889
2009/11/18	7577.1595	740.3429	3303.234
2009/11/19	7475.3203	730.1429	3320.612
2009/11/20	7451.7244	728.4246	3308.346
