date,pre_close,open,high,low,close,volume,amt,adjfactor
2018/3/23,4435.6254,4303.9018,4341.5049,4198.8399,4257.5483,55693488161,6.35E+11,1
2018/3/26,4257.5483,4205.8779,4278.0778,4171.1944,4277.7449,38170948283,4.71E+11,1
2018/3/27,4277.7449,4321.9634,4355.7894,4313.1041,4347.2306,41151361559,5.40E+11,1
2018/3/28,4347.2306,4296.2152,4346.9361,4288.1591,4293.6877,36791387616,5.00E+11,1
2018/3/29,4293.6877,4305.4546,4353.7276,4270.6895,4341.3845,36253502300,4.79E+11,1
2018/3/30,4341.3845,4346.4257,4382.0559,4341.3923,4376.2499,36339705807,4.97E+11,1
2018/4/2,4376.2499,4381.4976,4409.0712,4370.2493,4378.5765,41608683629,5.74E+11,1
2018/4/3,4378.5765,4328.994,4352.3378,4314.6895,4344.4897,36001734932,4.83E+11,1
2018/4/4,4344.4897,4357.0269,4377.3118,4324.3846,4327.071,33975566592,4.72E+11,1
2018/4/9,4327.071,4316.7551,4344.9484,4287.3014,4329.9234,32495660556,4.37E+11,1
2018/4/10,4329.9234,4335.4578,4377.7654,4321.9654,4377.5354,36751092435,4.85E+11,1
2018/4/11,4377.5354,4386.3594,4411.6025,4383.8207,4396.2282,36644418964,4.81E+11,1
2018/4/12,4396.2282,4390.2265,4397.2114,4359.1141,4362.5282,31961840899,4.29E+11,1
2018/4/13,4362.5282,4381.9009,4393.1571,4336.1319,4341.2102,28906978598,3.96E+11,1
2018/4/16,4341.2102,4331.5074,4339.0862,4271.5137,4298.61,34212159884,4.50E+11,1
2018/4/17,4298.61,4304.6837,4314.2656,4217.5574,4220.464,34909620056,4.66E+11,1
2018/4/18,4220.464,4251.7107,4264.7481,4172.0797,4258.0801,37453732071,4.94E+11,1
2018/4/19,4258.0801,4259.5325,4310.3475,4254.1647,4290.9286,36367173611,4.83E+11,1
2018/4/20,4290.9286,4277.216,4289.9215,4212.0076,4217.1011,35150991989,4.47E+11,1
2018/4/23,4217.1011,4212.2314,4239.1789,4163.4894,4200.075,31079426623,3.94E+11,1
