,收盘价
,close
日期,中证800
Date,000906.SH
2010-07-08,2766.2450
2010-07-09,2844.0300
2010-07-12,2875.3170
2010-07-13,2830.4250
2010-07-14,2852.3670
2010-07-15,2799.3960
2010-07-16,2809.6810
2010-07-19,2878.9530
2010-07-20,2946.9690
2010-07-21,2953.1740
2010-07-22,2991.4780
2010-07-23,3000.4610
2010-07-26,3025.4450
2010-07-27,3012.7480
2010-07-28,3084.9780
2010-07-29,3102.4180
2010-07-30,3094.5470
2010-08-02,3147.9270
2010-08-03,3092.7190
2010-08-04,3111.4190
2010-08-05,3094.6760
2010-08-06,3148.9160
2010-08-09,3176.3300
2010-08-10,3076.0180
2010-08-11,3099.8610
2010-08-12,3062.0670
2010-08-13,3108.9080
2010-08-16,3181.2590
2010-08-17,3203.9910
2010-08-18,3199.9200
2010-08-19,3215.2030
2010-08-20,3151.4670
2010-08-23,3156.9790
2010-08-24,3179.3240
2010-08-25,3107.4400
2010-08-26,3118.9770
2010-08-27,3131.8630
2010-08-30,3200.1570
2010-08-31,3197.5480
2010-09-01,3171.0050
2010-09-02,3218.9860
2010-09-03,3225.1490
2010-09-06,3267.0810
2010-09-07,3278.8110
2010-09-08,3284.7530
2010-09-09,3229.2270
2010-09-10,3243.0740
2010-09-13,3282.9280
2010-09-14,3288.0630
2010-09-15,3232.2510
2010-09-16,3165.2340
2010-09-17,3166.6970
2010-09-20,3147.8980
2010-09-21,3152.8180
2010-09-27,3214.9940
2010-09-28,3192.0040
2010-09-29,3174.9810
2010-09-30,3237.0200
2010-10-08,3344.4880
2010-10-11,3419.5840
2010-10-12,3454.7150
2010-10-13,3496.5050
2010-10-14,3472.0180
2010-10-15,3557.3290
2010-10-18,3529.6890
2010-10-19,3612.3170
2010-10-20,3632.2790
2010-10-21,3621.9650
2010-10-22,3633.4990
2010-10-25,3738.4840
2010-10-26,3735.4700
2010-10-27,3675.8400
2010-10-28,3671.7940
2010-10-29,3668.1570
2010-11-01,3770.0290
2010-11-02,3757.1100
2010-11-03,3708.6820
2010-11-04,3781.4920
2010-11-05,3829.5980
2010-11-08,3874.4050
2010-11-09,3861.5680
2010-11-10,3844.8030
2010-11-11,3845.1100
2010-11-12,3607.8730
2010-11-15,3653.5600
2010-11-16,3501.5820
2010-11-17,3408.7760
2010-11-18,3458.5980
2010-11-19,3511.4290
2010-11-22,3519.0120
2010-11-23,3450.5050
2010-11-24,3533.5670
2010-11-25,3580.9920
2010-11-26,3551.9270
2010-11-29,3552.0410
2010-11-30,3483.4320
2010-12-01,3483.7830
2010-12-02,3503.1570
2010-12-03,3498.4650
2010-12-06,3488.6330
2010-12-07,3529.3910
2010-12-08,3503.7710
2010-12-09,3444.9950
2010-12-10,3490.0100
2010-12-13,3595.9740
2010-12-14,3614.9770
2010-12-15,3594.9180
2010-12-16,3578.6720
2010-12-17,3576.8190
2010-12-20,3526.8440
2010-12-21,3594.9280
2010-12-22,3558.4750
2010-12-23,3517.1090
2010-12-24,3481.8000
2010-12-27,3404.2400
2010-12-28,3337.7750
2010-12-29,3366.8050
2010-12-30,3371.6330
2010-12-31,3443.5760
2011-01-04,3507.0060
2011-01-05,3499.0120
2011-01-06,3480.9620
2011-01-07,3481.6320
2011-01-10,3407.4190
2011-01-11,3415.9950
2011-01-12,3435.4060
2011-01-13,3433.2720
2011-01-14,3374.0850
2011-01-17,3241.3190
2011-01-18,3247.1860
2011-01-19,3321.7420
2011-01-20,3209.4910
2011-01-21,3246.0650
2011-01-24,3202.2470
2011-01-25,3179.0580
2011-01-26,3226.6600
2011-01-27,3279.9350
2011-01-28,3296.7470
2011-01-31,3340.5070
2011-02-01,3344.8500
2011-02-09,3311.7390
2011-02-10,3385.9490
2011-02-11,3409.4040
2011-02-14,3504.4150
2011-02-15,3502.7030
2011-02-16,3543.1410
2011-02-17,3547.6080
2011-02-18,3511.5910
2011-02-21,3567.7060
2011-02-22,3466.8180
2011-02-23,3488.8500
2011-02-24,3511.0330
2011-02-25,3517.3560
2011-02-28,3562.8130
2011-03-01,3580.2640
2011-03-02,3568.3670
2011-03-03,3532.2400
2011-03-04,3582.6020
2011-03-07,3647.2010
2011-03-08,3654.7490
2011-03-09,3658.8220
2011-03-10,3604.5940
2011-03-11,3577.4860
2011-03-14,3599.4510
2011-03-15,3541.0220
2011-03-16,3589.3780
2011-03-17,3530.3840
2011-03-18,3549.6110
2011-03-21,3535.0280
2011-03-22,3547.7070
2011-03-23,3594.5230
2011-03-24,3586.2500
2011-03-25,3629.0140
2011-03-28,3623.4590
2011-03-29,3580.6180
2011-03-30,3570.3110
2011-03-31,3531.8790
2011-04-01,3583.7880
2011-04-06,3613.2280
2011-04-07,3629.9670
2011-04-08,3664.3420
2011-04-11,3640.4800
2011-04-12,3636.5130
2011-04-13,3682.4360
2011-04-14,3664.8960
2011-04-15,3671.3970
2011-04-18,3674.9010
2011-04-19,3611.9640
2011-04-20,3618.7560
2011-04-21,3642.8480
2011-04-22,3624.5170
2011-04-25,3563.2510
2011-04-26,3532.4220
2011-04-27,3504.4270
2011-04-28,3436.2880
2011-04-29,3476.5050
2011-05-03,3507.0770
2011-05-04,3421.1820
2011-05-05,3421.1890
2011-05-06,3421.6900
2011-05-09,3435.9430
2011-05-10,3460.2100
2011-05-11,3455.7150
2011-05-12,3408.4020
2011-05-13,3436.9890
2011-05-16,3414.4510
2011-05-17,3421.9020
2011-05-18,3446.7360
2011-05-19,3426.7260
2011-05-20,3424.3420
2011-05-23,3310.4970
2011-05-24,3311.6950
2011-05-25,3272.8200
2011-05-26,3254.5710
2011-05-27,3215.2830
2011-05-30,3192.3950
2011-05-31,3248.9000
2011-06-01,3259.7970
2011-06-02,3209.3860
2011-06-03,3248.3720
2011-06-07,3270.5130
2011-06-08,3276.9950
2011-06-09,3211.3660
2011-06-10,3221.7550
2011-06-13,3212.4040
2011-06-14,3260.7180
2011-06-15,3228.4920
2011-06-16,3173.5160
2011-06-17,3140.8810
2011-06-20,3115.9660
2011-06-21,3154.6680
2011-06-22,3151.0300
2011-06-23,3205.8340
2011-06-24,3281.9640
2011-06-27,3300.3330
2011-06-28,3305.7300
2011-06-29,3260.4780
2011-06-30,3308.5370
2011-07-01,3317.8310
2011-07-04,3397.4540
2011-07-05,3403.4640
2011-07-06,3398.5120
2011-07-07,3388.9020
2011-07-08,3394.0570
2011-07-11,3405.2690
2011-07-12,3347.1280
2011-07-13,3404.4920
2011-07-14,3419.7370
2011-07-15,3435.9020
2011-07-18,3430.6810
2011-07-19,3398.9170
