,万得全A,,,,,,,,,,
,881001.WI,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007-07-12,2775.2383,2775.2383,2806.7942,2765.8928,2791.7754,7532740800.0000,92091304000.0000,16.5371,0.5959,1.000000,1.9873
2007-07-13,2791.7754,2791.7754,2797.2354,2752.5366,2789.4084,6690622000.0000,82834232000.0000,-2.3670,-0.0848,1.000000,1.7046
2007-07-16,2789.4084,2789.4084,2795.0505,2701.8721,2702.0237,7129681600.0000,89997376000.0000,-87.3847,-3.1327,1.000000,1.8161
2007-07-17,2702.0237,2702.0237,2781.4255,2668.6355,2763.1792,7405524800.0000,94891800000.0000,61.1555,2.2633,1.000000,1.8822
2007-07-18,2763.1792,2763.1792,2812.8760,2741.3262,2775.5237,9205386400.0000,121828000000.0000,12.3445,0.4468,1.000000,2.3497
2007-07-19,2775.5237,2775.5237,2798.1553,2756.4341,2781.9294,6810829600.0000,86451008000.0000,6.4057,0.2308,1.000000,1.8579
2007-07-20,2781.9294,2781.9294,2896.2068,2781.9292,2895.5549,12219544800.0000,157779808000.0000,113.6255,4.0844,1.000000,3.1085
2007-07-23,2895.5549,2895.5549,3032.3877,2895.5549,3032.2051,17793398400.0000,232476592000.0000,136.6502,4.7193,1.000000,4.5175
2007-07-24,3032.2051,3032.2051,3100.9482,3024.4402,3038.0762,16819284800.0000,219947568000.0000,5.8711,0.1936,1.000000,4.2664
2007-07-25,3038.0762,3038.0762,3112.4441,3037.9575,3112.2461,14080558400.0000,193568992000.0000,74.1699,2.4413,1.000000,3.5751
2007-07-26,3112.2461,3112.2461,3173.5542,3107.7341,3157.7690,15129224000.0000,207640992000.0000,45.5229,1.4627,1.000000,3.8314
2007-07-27,3157.7690,3157.7690,3185.8555,3101.8103,3182.2007,15397324800.0000,212695168000.0000,24.4317,0.7737,1.000000,3.8952
2007-07-30,3182.2007,3182.2007,3266.6394,3181.7085,3252.5361,17056940800.0000,239724896000.0000,70.3354,2.2103,1.000000,4.3124
2007-07-31,3252.5361,3252.5361,3293.5374,3211.2056,3291.1372,16406046400.0000,234854768000.0000,38.6011,1.1868,1.000000,4.1366
2007-08-01,3291.1372,3291.1372,3316.6987,3144.8118,3153.1858,19037774400.0000,266406144000.0000,-137.9514,-4.1916,1.000000,4.7968
2007-08-02,3153.1858,3153.1858,3268.7705,3153.1858,3263.3955,14933030400.0000,221223600000.0000,110.2097,3.4952,1.000000,3.7597
2007-08-03,3263.3955,3263.3955,3358.0159,3263.3955,3357.9233,17366345600.0000,269623456000.0000,94.5278,2.8966,1.000000,4.3777
2007-08-06,3357.9233,3357.9233,3430.7852,3357.9233,3430.3716,17246032000.0000,264592400000.0000,72.4483,2.1575,1.000000,4.3101
2007-08-07,3430.3716,3430.3716,3466.3931,3376.7524,3435.0791,17699811200.0000,281478656000.0000,4.7075,0.1372,1.000000,4.4466
2007-08-08,3435.0791,3435.0791,3441.7856,3324.5371,3390.5125,17000468800.0000,242416736000.0000,-44.5666,-1.2974,1.000000,4.2978
2007-08-09,3390.5125,3390.5125,3455.3789,3388.8569,3452.5203,14155734400.0000,211654944000.0000,62.0078,1.8289,1.000000,3.5599
2007-08-10,3452.5203,3452.5203,3452.5203,3332.8979,3404.4961,15153131200.0000,225934256000.0000,-48.0242,-1.3910,1.000000,3.8133
2007-08-13,3404.4961,3404.4961,3421.7249,3353.1069,3396.7952,15923648000.0000,232024976000.0000,-7.7009,-0.2262,1.000000,4.0118
2007-08-14,3396.7952,3396.7952,3464.5928,3389.6484,3460.4612,12801436000.0000,192369872000.0000,63.6660,1.8743,1.000000,3.2139
2007-08-15,3460.4612,3460.4612,3483.8865,3381.9070,3456.7722,13220027200.0000,198560560000.0000,-3.6890,-0.1066,1.000000,3.3180
2007-08-16,3456.7722,3456.7722,3456.7722,3381.0613,3424.3484,13507299200.0000,198953376000.0000,-32.4238,-0.9380,1.000000,3.3940
2007-08-17,3424.3484,3424.3484,3458.9705,3361.4670,3367.7742,13426649600.0000,201449824000.0000,-56.5742,-1.6521,1.000000,3.3749
2007-08-20,3367.7742,3367.7742,3533.5918,3367.7742,3533.2041,14787409600.0000,221718240000.0000,165.4299,4.9121,1.000000,3.6928
2007-08-21,3533.2041,3533.2041,3599.9812,3533.2041,3585.4617,15960168000.0000,244408096000.0000,52.2576,1.4790,1.000000,3.9758
2007-08-22,3585.4617,3585.4617,3652.6707,3525.2478,3637.2507,16965296000.0000,261964144000.0000,51.7890,1.4444,1.000000,4.2118
2007-08-23,3637.2507,3637.2507,3699.6997,3622.2415,3689.8472,15555932800.0000,248033824000.0000,52.5965,1.4461,1.000000,3.8788
2007-08-24,3689.8472,3689.8472,3740.3787,3689.8472,3733.0925,16404032000.0000,253930080000.0000,43.2453,1.1720,1.000000,4.0828
2007-08-27,3733.0925,3733.0925,3773.4443,3700.0720,3735.8879,17597486400.0000,273756256000.0000,2.7954,0.0749,1.000000,4.3835
2007-08-28,3735.8879,3735.8879,3750.7585,3660.5325,3741.2141,16312211200.0000,263802960000.0000,5.3262,0.1426,1.000000,4.0407
2007-08-29,3741.2141,3741.2141,3761.7405,3664.9534,3693.9543,15419492800.0000,253064416000.0000,-47.2598,-1.2632,1.000000,3.8173
2007-08-30,3693.9543,3693.9543,3766.8828,3693.8879,3763.9858,15766993600.0000,243097728000.0000,70.0315,1.8958,1.000000,3.8964
2007-08-31,3763.9858,3763.9858,3813.7634,3763.9858,3804.9426,16232256000.0000,246162416000.0000,40.9568,1.0881,1.000000,4.0011
2007-09-03,3804.9426,3804.9426,3899.7930,3804.9424,3890.7791,19342432000.0000,297896896000.0000,85.8365,2.2559,1.000000,4.7656
2007-09-04,3890.7791,3890.7791,3902.2720,3837.4065,3854.9917,18337697600.0000,286515616000.0000,-35.7874,-0.9198,1.000000,4.5192
2007-09-05,3854.9917,3854.9917,3878.2273,3794.1196,3864.7783,14945665600.0000,237362432000.0000,9.7866,0.2539,1.000000,3.6643
2007-09-06,3864.7783,3864.7783,3923.1470,3864.7783,3903.8408,16264595200.0000,255232240000.0000,39.0625,1.0107,1.000000,3.9835
2007-09-07,3903.8408,3903.8408,3903.8408,3814.7722,3819.8743,18255420800.0000,290633792000.0000,-83.9665,-2.1509,1.000000,4.4923
2007-09-10,3819.8743,3819.8743,3883.7395,3819.8743,3883.7395,15407395200.0000,237496912000.0000,63.8652,1.6719,1.000000,3.7952
2007-09-11,3883.7395,3883.7395,3905.2856,3676.8135,3685.7551,16640076800.0000,262218448000.0000,-197.9844,-5.0978,1.000000,4.0944
2007-09-12,3685.7551,3685.7551,3746.2305,3620.5493,3732.8308,14698443200.0000,228805872000.0000,47.0757,1.2772,1.000000,3.6085
2007-09-13,3732.8308,3732.8308,3824.5425,3732.8308,3823.9597,12988343200.0000,216060256000.0000,91.1289,2.4413,1.000000,3.1974
2007-09-14,3823.9597,3823.9597,3870.2068,3776.9641,3864.2683,14003278400.0000,230748032000.0000,40.3086,1.0541,1.000000,3.4466
2007-09-17,3864.2683,3864.2683,3943.4243,3856.5793,3940.2336,15771518400.0000,253786256000.0000,75.9653,1.9658,1.000000,3.8860
2007-09-18,3940.2336,3940.2336,3963.9438,3886.4170,3939.0930,15742963200.0000,261264080000.0000,-1.1406,-0.0289,1.000000,3.8638
2007-09-19,3939.0930,3939.0930,3952.5662,3875.3376,3894.1179,13174530400.0000,215426992000.0000,-44.9751,-1.1418,1.000000,3.3370
2007-09-20,3894.1179,3894.1179,3945.0171,3894.1179,3944.2568,13141792800.0000,219619600000.0000,50.1389,1.2876,1.000000,3.1876
2007-09-21,3944.2568,3944.2568,3958.2424,3841.6421,3920.7708,14088033600.0000,233500080000.0000,-23.4860,-0.5954,1.000000,3.4260
2007-09-24,3920.7708,3920.7708,3963.2710,3873.9612,3943.9827,12706110400.0000,220746112000.0000,23.2119,0.5920,1.000000,3.0857
2007-09-25,3943.9827,3943.9827,3961.4475,3882.9468,3905.9512,10657656000.0000,184414608000.0000,-38.0315,-0.9643,1.000000,3.2045
2007-09-26,3905.9512,3905.9512,3926.3098,3825.8953,3843.9109,9427760800.0000,159869712000.0000,-62.0403,-1.5884,1.000000,2.2561
2007-09-27,3843.9109,3843.9109,3888.0833,3825.3130,3887.5906,8658109600.0000,147567584000.0000,43.6797,1.1363,1.000000,2.0718
2007-09-28,3887.5906,3887.5906,3994.9297,3887.5906,3988.5950,11576276000.0000,201876240000.0000,101.0044,2.5981,1.000000,2.8173
2007-10-08,3988.5950,3988.5950,4076.6938,3988.5950,4025.3083,13753305600.0000,237330576000.0000,36.7133,0.9205,1.000000,3.2910
2007-10-09,4025.3083,4025.3083,4051.0325,3981.1113,4048.6301,11854424800.0000,203840944000.0000,23.3218,0.5794,1.000000,2.9225
2007-10-10,4048.6301,4048.6301,4108.0293,4029.3220,4052.4971,13547123200.0000,245263056000.0000,3.8670,0.0955,1.000000,3.2172
2007-10-11,4052.4971,4052.4971,4082.2686,4022.0620,4072.5320,13707444800.0000,255809808000.0000,20.0349,0.4944,1.000000,3.2433
2007-10-12,4072.5320,4072.5320,4085.7729,3860.7800,4038.0120,16863062400.0000,309004032000.0000,-34.5200,-0.8476,1.000000,4.0176
2007-10-15,4038.0120,4038.0120,4080.1421,3988.3464,4076.0029,13855264000.0000,270241856000.0000,37.9909,0.9408,1.000000,3.3007
2007-10-16,4076.0029,4076.0029,4116.6235,4059.5225,4116.0049,12152220000.0000,228350464000.0000,40.0020,0.9814,1.000000,2.8545
2007-10-17,4116.0049,4116.0049,4125.6553,4065.8225,4085.3821,10348251200.0000,196061040000.0000,-30.6228,-0.7440,1.000000,2.4284
2007-10-18,4085.3821,4085.3821,4085.3892,3947.9153,3957.9939,10404530400.0000,194850576000.0000,-127.3882,-3.1181,1.000000,2.4330
