,沪深300,,,,,,,,,,
,000300.SH,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2009-11-27,3485.7730,3440.3430,3480.9310,3367.2930,3382.5100,8929468800.0000,125775998834.0000,-103.2630,-2.9624,1.000000,0.8841
2009-11-30,3382.5100,3415.0770,3511.7650,3415.0770,3511.6690,8441534100.0000,117377393884.0000,129.1590,3.8184,1.000000,0.8340
2009-12-01,3511.6690,3507.5590,3566.7800,3485.5240,3560.8310,10151863900.0000,138002623609.0000,49.1620,1.4000,1.000000,1.0001
2009-12-02,3560.8310,3578.8690,3607.5610,3570.2870,3597.3290,9805203300.0000,138929251793.0000,36.4980,1.0250,1.000000,0.9660
2009-12-03,3597.3290,3596.9520,3603.1220,3551.4820,3590.8760,8997857200.0000,128562629236.0000,-6.4530,-0.1794,1.000000,0.8863
2009-12-04,3590.8760,3581.6270,3646.2630,3530.0580,3643.4910,13413090100.0000,188843990614.0000,52.6150,1.4652,1.000000,1.3213
2009-12-07,3643.4910,3644.6250,3672.7980,3633.4450,3668.8320,9122554600.0000,131991687622.0000,25.3410,0.6955,1.000000,0.8944
2009-12-08,3668.8320,3670.8070,3671.0420,3590.9410,3624.0190,8294086400.0000,118750858921.0000,-44.8130,-1.2215,1.000000,0.8132
2009-12-09,3624.0190,3579.2820,3603.6960,3543.4240,3554.4780,6852150700.0000,97091971849.0000,-69.5410,-1.9189,1.000000,0.6718
2009-12-10,3554.4780,3579.8260,3601.2890,3544.9010,3577.2370,5756373800.0000,81151398823.0000,22.7590,0.6403,1.000000,0.5643
2009-12-11,3577.2370,3589.4080,3614.9520,3568.5060,3575.0200,5455091200.0000,74282930261.0000,-2.2170,-0.0620,1.000000,0.5348
2009-12-14,3575.0200,3572.5310,3623.2730,3495.6390,3612.7530,8378502100.0000,113441731758.0000,37.7330,1.0555,1.000000,0.8214
2009-12-15,3612.7530,3594.5100,3620.3220,3578.2830,3583.3410,6918649300.0000,98783625773.0000,-29.4120,-0.8141,1.000000,0.6783
2009-12-16,3583.3410,3568.2800,3610.6850,3550.6670,3560.7230,5696391200.0000,81340897367.0000,-22.6180,-0.6312,1.000000,0.5583
2009-12-17,3560.7230,3571.0520,3582.4390,3475.8440,3480.1530,6328620100.0000,86756667103.0000,-80.5700,-2.2627,1.000000,0.6203
2009-12-18,3480.1530,3450.0450,3453.3480,3385.6750,3391.7350,6611101500.0000,89137672408.0000,-88.4180,-2.5406,1.000000,0.6479
2009-12-21,3391.7350,3386.3260,3404.6420,3354.6520,3396.6220,4832980500.0000,69055779059.0000,4.8870,0.1441,1.000000,0.4716
2009-12-22,3396.6220,3402.2280,3404.7540,3296.7650,3305.5430,5394268500.0000,75498512042.0000,-91.0790,-2.6815,1.000000,0.5250
2009-12-23,3305.5430,3303.7290,3342.9880,3296.2920,3336.4800,4806450400.0000,67948267136.0000,30.9370,0.9359,1.000000,0.4677
2009-12-24,3336.4800,3346.7630,3445.7040,3339.2980,3438.8170,6437782300.0000,94811625085.0000,102.3370,3.0672,1.000000,0.6265
2009-12-25,3438.8170,3434.3260,3441.9560,3410.6670,3424.7830,4691457600.0000,68701833803.0000,-14.0340,-0.4081,1.000000,0.4565
2009-12-28,3424.7830,3432.8200,3489.5740,3432.8200,3478.4330,5537539000.0000,78965998321.0000,53.6500,1.5665,1.000000,0.5389
2009-12-29,3478.4330,3481.9030,3501.2470,3451.1770,3500.7370,5553576500.0000,78053673797.0000,22.3040,0.6412,1.000000,0.5420
2009-12-30,3500.7370,3503.8160,3561.4360,3498.3770,3558.8570,8842937000.0000,124684572895.0000,58.1200,1.6602,1.000000,0.8630
2009-12-31,3558.8570,3561.3670,3579.5180,3542.3800,3575.6840,6924189000.0000,98004030329.0000,16.8270,0.4728,1.000000,0.6755
2010-01-04,3575.6840,3592.4680,3597.7480,3535.2290,3535.2290,6610108000.0000,93419838921.0000,-40.4550,-1.1314,1.000000,0.6394
2010-01-05,3535.2290,3545.1860,3577.5260,3497.6610,3564.0380,8580964100.0000,128302442618.0000,28.8090,0.8149,1.000000,0.8301
2010-01-06,3564.0380,3558.7000,3588.8320,3541.1730,3541.7270,7847312500.0000,121045989916.0000,-22.3110,-0.6260,1.000000,0.7591
2010-01-07,3541.7270,3543.1600,3558.5560,3452.7690,3471.4560,8035003700.0000,120436166283.0000,-70.2710,-1.9841,1.000000,0.7772
