,上证综指
,000001.SH
日期,收盘价
Date,close
2009-03-25,2291.5550
2009-03-26,2361.7040
2009-03-27,2374.4380
2009-03-30,2358.0400
2009-03-31,2373.2130
2009-04-01,2408.0170
2009-04-02,2425.2910
2009-04-03,2419.7780
2009-04-07,2439.1820
2009-04-08,2347.3850
2009-04-09,2379.8760
2009-04-10,2444.2260
2009-04-13,2513.7010
2009-04-14,2527.1810
2009-04-15,2536.0560
2009-04-16,2534.1340
2009-04-17,2503.9350
2009-04-20,2557.4560
2009-04-21,2535.8280
2009-04-22,2461.3460
2009-04-23,2463.9540
2009-04-24,2448.5950
2009-04-27,2405.3480
2009-04-28,2401.4380
2009-04-29,2468.1920
2009-04-30,2477.5690
2009-05-04,2559.9110
2009-05-05,2567.3370
2009-05-06,2592.5200
2009-05-07,2597.4470
2009-05-08,2625.6450
2009-05-11,2579.7470
2009-05-12,2618.1720
2009-05-13,2663.7660
2009-05-14,2639.8870
2009-05-15,2645.2630
2009-05-18,2652.7790
2009-05-19,2676.6820
2009-05-20,2651.4140
2009-05-21,2610.6220
2009-05-22,2597.6010
2009-05-25,2610.0100
2009-05-26,2588.5750
2009-05-27,2632.9300
2009-06-01,2721.2800
2009-06-02,2724.3020
2009-06-03,2778.5890
2009-06-04,2767.2440
2009-06-05,2753.8910
2009-06-08,2768.3360
2009-06-09,2787.8870
2009-06-10,2816.2470
2009-06-11,2797.3200
2009-06-12,2743.7620
2009-06-15,2789.5490
2009-06-16,2776.0220
2009-06-17,2810.1230
2009-06-18,2853.9030
2009-06-19,2880.4920
2009-06-22,2896.3020
2009-06-23,2892.6970
2009-06-24,2922.2990
2009-06-25,2925.0460
2009-06-26,2928.2110
2009-06-29,2975.3140
2009-06-30,2959.3620
2009-07-01,3008.1500
2009-07-02,3060.2540
2009-07-03,3088.3670
2009-07-06,3124.6670
2009-07-07,3089.4500
2009-07-08,3080.7740
2009-07-09,3123.0350
2009-07-10,3113.9320
2009-07-13,3080.5560
2009-07-14,3145.1570
2009-07-15,3188.5510
2009-07-16,3183.7420
2009-07-17,3189.7410
2009-07-20,3266.9200
