,上证综指
,000001.SH
日期,收盘价
Date,close
2003-05-20,1535.5200
2003-05-21,1533.4830
2003-05-22,1546.1130
2003-05-23,1560.9550
2003-05-26,1569.5120
2003-05-27,1568.3410
2003-05-28,1551.8110
2003-05-29,1568.1560
2003-05-30,1576.2610
2003-06-02,1576.5280
2003-06-03,1562.2370
2003-06-04,1574.1110
2003-06-05,1556.2490
2003-06-06,1538.9200
2003-06-09,1530.2150
2003-06-10,1538.7620
2003-06-11,1565.8400
2003-06-12,1562.1060
2003-06-13,1566.7660
2003-06-16,1559.7050
2003-06-17,1557.1750
2003-06-18,1553.8770
2003-06-19,1538.7540
2003-06-20,1529.4700
2003-06-23,1511.3650
2003-06-24,1512.4290
2003-06-25,1502.0770
2003-06-26,1515.3750
2003-06-27,1497.0540
2003-06-30,1486.0240
2003-07-01,1484.7040
2003-07-02,1499.6820
2003-07-03,1504.4360
2003-07-04,1502.3490
2003-07-07,1501.4840
2003-07-08,1512.0190
2003-07-09,1503.3140
2003-07-10,1531.9270
2003-07-11,1528.8540
2003-07-14,1521.4140
2003-07-15,1525.4390
2003-07-16,1529.4910
2003-07-17,1539.3580
2003-07-18,1507.1620
2003-07-21,1495.8850
2003-07-22,1498.4850
2003-07-23,1502.1480
2003-07-24,1493.4510
2003-07-25,1477.6510
2003-07-28,1470.3930
2003-07-29,1477.2960
2003-07-30,1479.6520
2003-07-31,1476.7420
2003-08-01,1476.9690
2003-08-04,1494.3650
2003-08-05,1494.3120
2003-08-06,1486.2520
2003-08-07,1487.3700
2003-08-08,1471.2720
2003-08-11,1474.4130
2003-08-12,1479.2830
2003-08-13,1465.8270
2003-08-14,1455.8990
2003-08-15,1450.2030
2003-08-18,1445.0890
2003-08-19,1449.7120
2003-08-20,1441.6640
2003-08-21,1441.0900
2003-08-22,1438.8830
2003-08-25,1422.1760
2003-08-26,1425.2120
2003-08-27,1425.3620
2003-08-28,1415.6930
2003-08-29,1421.9830
2003-09-01,1449.8160
2003-09-02,1446.5120
2003-09-03,1447.8500
2003-09-04,1447.4250
2003-09-05,1431.5330
2003-09-08,1425.7270
2003-09-09,1420.0740
2003-09-10,1423.1770
2003-09-11,1423.9600
2003-09-12,1409.1620
2003-09-15,1397.5400
2003-09-16,1406.1040
2003-09-17,1389.8220
2003-09-18,1390.4850
2003-09-19,1391.3700
2003-09-22,1381.4430
2003-09-23,1390.1740
2003-09-24,1394.2290
2003-09-25,1376.2910
2003-09-26,1370.8430
2003-09-29,1355.3350
2003-09-30,1367.1610
2003-10-08,1371.6850
2003-10-09,1369.1740
2003-10-10,1404.0080
2003-10-13,1399.6580
2003-10-14,1388.1720
2003-10-15,1383.0980
2003-10-16,1365.5050
2003-10-17,1370.5820
2003-10-20,1359.4980
2003-10-21,1364.3010
2003-10-22,1398.0100
2003-10-23,1386.6530
2003-10-24,1381.8300
2003-10-27,1369.4630
2003-10-28,1369.3250
2003-10-29,1361.4870
2003-10-30,1344.6330
2003-10-31,1348.3030
2003-11-03,1364.0550
2003-11-04,1389.5450
2003-11-05,1385.1100
2003-11-06,1356.7900
2003-11-07,1335.2050
2003-11-10,1340.0970
2003-11-11,1343.6160
2003-11-12,1317.7920
2003-11-13,1319.6080
2003-11-14,1331.0510
2003-11-17,1328.1030
2003-11-18,1316.5620
2003-11-19,1338.8700
2003-11-20,1376.5060
2003-11-21,1361.5590
2003-11-24,1404.0080
2003-11-25,1408.4150
2003-11-26,1411.9090
2003-11-27,1389.1030
2003-11-28,1397.2250
2003-12-01,1432.7030
2003-12-02,1435.3140
2003-12-03,1445.0260
2003-12-04,1452.8090
2003-12-05,1451.1180
2003-12-08,1436.6630
2003-12-09,1443.3660
2003-12-10,1469.4220
2003-12-11,1470.0230
2003-12-12,1470.7920
2003-12-15,1470.3570
2003-12-16,1466.3370
2003-12-17,1453.9950
2003-12-18,1457.3010
2003-12-19,1446.2850
2003-12-22,1492.9630
2003-12-23,1500.6400
2003-12-24,1513.8250
2003-12-25,1512.5970
2003-12-26,1514.7750
2003-12-29,1496.4270
2003-12-30,1511.6910
2003-12-31,1497.0440
2004-01-02,1517.1930
2004-01-05,1568.3530
2004-01-06,1574.5230
2004-01-07,1587.2040
2004-01-08,1610.1260
2004-01-09,1581.4660
2004-01-12,1618.5180
2004-01-13,1612.6830
2004-01-14,1592.4230
2004-01-15,1586.4930
2004-01-16,1600.4250
2004-01-29,1628.8370
2004-01-30,1590.7290
2004-02-02,1623.8800
2004-02-03,1649.2820
2004-02-04,1685.1590
2004-02-05,1693.4280
2004-02-06,1679.1930
2004-02-09,1703.5290
2004-02-10,1691.0090
2004-02-11,1677.7590
2004-02-12,1663.8320
2004-02-13,1658.5390
2004-02-16,1696.8270
2004-02-17,1703.7740
2004-02-18,1717.0960
2004-02-19,1717.0150
2004-02-20,1721.7520
2004-02-23,1681.6540
2004-02-24,1682.2970
2004-02-25,1647.3810
2004-02-26,1654.8980
2004-02-27,1675.0670
2004-03-01,1689.7600
2004-03-02,1687.2780
2004-03-03,1661.8120
2004-03-04,1668.8740
2004-03-05,1662.0960
2004-03-08,1637.1440
2004-03-09,1637.0990
2004-03-10,1678.0730
2004-03-11,1691.6430
2004-03-12,1694.7430
2004-03-15,1736.2200
2004-03-16,1745.5430
2004-03-17,1745.0980
2004-03-18,1717.2600
2004-03-19,1747.8720
2004-03-22,1755.6850
2004-03-23,1741.6950
2004-03-24,1740.0540
2004-03-25,1736.4770
2004-03-26,1734.0470
2004-03-29,1719.6740
2004-03-30,1724.2770
2004-03-31,1741.6230
2004-04-01,1758.1470
2004-04-02,1768.6450
2004-04-05,1766.4830
2004-04-06,1777.5160
2004-04-07,1774.5520
2004-04-08,1770.2790
2004-04-09,1727.3480
2004-04-12,1722.9860
2004-04-13,1715.1360
2004-04-14,1697.1560
2004-04-15,1679.0760
2004-04-16,1693.8610
2004-04-19,1675.8850
2004-04-20,1669.4220
2004-04-21,1651.5770
2004-04-22,1657.7850
2004-04-23,1635.5010
2004-04-26,1635.4990
2004-04-27,1611.8600
2004-04-28,1606.8010
2004-04-29,1579.4470
2004-04-30,1595.5870
2004-05-10,1560.2150
2004-05-11,1568.0590
2004-05-12,1603.7680
2004-05-13,1597.5700
2004-05-14,1562.6880
2004-05-17,1539.9590
2004-05-18,1555.4420
2004-05-19,1558.2870
2004-05-20,1549.0610
2004-05-21,1558.3300
2004-05-24,1550.3480
2004-05-25,1518.0450
2004-05-26,1524.4360
2004-05-27,1557.1780
2004-05-28,1548.7220
2004-05-31,1555.9060
2004-06-01,1579.6580
2004-06-02,1567.0670
2004-06-03,1543.5270
2004-06-04,1542.0860
2004-06-07,1517.1450
2004-06-08,1493.8140
2004-06-09,1468.0710
2004-06-10,1468.3440
2004-06-11,1472.0720
2004-06-14,1438.7360
2004-06-15,1463.7770
2004-06-16,1475.4160
2004-06-17,1445.5010
2004-06-18,1427.3010
2004-06-21,1433.4670
2004-06-22,1450.6830
2004-06-23,1440.7290
2004-06-24,1427.7540
2004-06-25,1401.1130
2004-06-28,1385.1810
2004-06-29,1408.6890
2004-06-30,1399.1620
2004-07-01,1441.0680
2004-07-02,1441.1900
2004-07-05,1444.5900
2004-07-06,1450.5010
2004-07-07,1438.3980
2004-07-08,1439.7830
2004-07-09,1430.6540
2004-07-12,1397.1480
2004-07-13,1399.4610
2004-07-14,1403.7550
2004-07-15,1421.5440
2004-07-16,1456.1300
2004-07-19,1457.5370
2004-07-20,1447.9410
2004-07-21,1448.0370
2004-07-22,1407.4380
2004-07-23,1407.3960
2004-07-26,1387.6700
2004-07-27,1384.1280
2004-07-28,1388.8100
2004-07-29,1407.3310
2004-07-30,1386.2020
2004-08-02,1373.2170
2004-08-03,1366.2580
2004-08-04,1404.5050
2004-08-05,1389.0390
2004-08-06,1390.4610
2004-08-09,1395.8480
2004-08-10,1400.7690
2004-08-11,1384.9640
2004-08-12,1368.1960
2004-08-13,1368.4500
2004-08-16,1354.5110
2004-08-17,1360.2000
2004-08-18,1358.2160
2004-08-19,1340.4500
2004-08-20,1341.7380
2004-08-23,1325.4130
2004-08-24,1344.6260
2004-08-25,1339.7840
2004-08-26,1334.4220
2004-08-27,1320.6140
2004-08-30,1319.4070
2004-08-31,1342.0620
2004-09-01,1321.4620
2004-09-02,1327.9270
2004-09-03,1327.1160
2004-09-06,1321.4650
2004-09-07,1324.2940
2004-09-08,1309.3330
2004-09-09,1284.3070
2004-09-10,1287.0810
2004-09-13,1260.3160
2004-09-14,1300.3570
2004-09-15,1355.2260
2004-09-16,1371.2010
2004-09-17,1414.7020
2004-09-20,1463.2210
2004-09-21,1448.5620
2004-09-22,1420.1480
2004-09-23,1464.7790
2004-09-24,1435.5630
2004-09-27,1427.3980
2004-09-28,1435.5890
2004-09-29,1420.0090
2004-09-30,1396.7000
2004-10-08,1422.9290
2004-10-11,1413.1540
2004-10-12,1384.4390
2004-10-13,1386.7210
2004-10-14,1332.9380
2004-10-15,1330.5180
2004-10-18,1335.3940
2004-10-19,1337.6180
2004-10-20,1330.5840
2004-10-21,1310.5450
2004-10-22,1329.3550
2004-10-25,1311.1510
2004-10-26,1324.7830
2004-10-27,1342.7990
2004-10-28,1341.7370
2004-10-29,1320.5360
2004-11-01,1305.2910
2004-11-02,1301.5280
2004-11-03,1326.7490
2004-11-04,1304.7760
2004-11-05,1305.1280
2004-11-08,1304.2290
2004-11-09,1307.4290
2004-11-10,1354.3860
2004-11-11,1347.0700
2004-11-12,1352.2170
2004-11-15,1370.0460
2004-11-16,1370.3890
2004-11-17,1356.1380
2004-11-18,1367.8280
2004-11-19,1379.9600
2004-11-22,1383.0200
2004-11-23,1371.2440
2004-11-24,1359.1250
2004-11-25,1358.3330
2004-11-26,1356.7270
2004-11-29,1337.4340
2004-11-30,1340.7710
2004-12-01,1334.9440
2004-12-02,1333.0900
2004-12-03,1337.1970
2004-12-06,1339.6440
2004-12-07,1323.7520
2004-12-08,1326.4380
2004-12-09,1338.8100
2004-12-10,1317.7170
2004-12-13,1309.6950
2004-12-14,1307.5530
2004-12-15,1313.0450
2004-12-16,1305.0180
2004-12-17,1290.4900
2004-12-20,1275.4590
2004-12-21,1275.1700
2004-12-22,1307.5700
2004-12-23,1282.7190
2004-12-24,1285.0360
2004-12-27,1280.2720
2004-12-28,1278.9430
2004-12-29,1274.3130
2004-12-30,1273.7090
2004-12-31,1266.4960
2005-01-04,1242.7740
2005-01-05,1251.9370
2005-01-06,1239.4300
2005-01-07,1244.7460
2005-01-10,1252.4010
2005-01-11,1257.4620
2005-01-12,1256.9230
2005-01-13,1256.3140
2005-01-14,1245.6200
2005-01-17,1216.6520
2005-01-18,1225.4540
2005-01-19,1218.1080
2005-01-20,1204.3940
2005-01-21,1234.4760
2005-01-24,1255.7770
2005-01-25,1254.2340
2005-01-26,1241.9580
2005-01-27,1225.8910
2005-01-28,1213.6730
2005-01-31,1191.8230
2005-02-01,1188.9310
2005-02-02,1252.5000
2005-02-03,1242.3070
2005-02-04,1269.0040
2005-02-16,1278.8800
2005-02-17,1276.1340
2005-02-18,1258.9690
2005-02-21,1284.4800
2005-02-22,1309.2770
2005-02-23,1309.4750
2005-02-24,1309.9490
2005-02-25,1312.4450
2005-02-28,1306.0030
2005-03-01,1303.4120
2005-03-02,1287.4500
2005-03-03,1294.3390
2005-03-04,1287.7140
2005-03-07,1293.7390
2005-03-08,1318.2710
2005-03-09,1316.7910
2005-03-10,1286.2330
2005-03-11,1289.9410
2005-03-14,1293.5000
2005-03-15,1269.1440
2005-03-16,1255.5890
2005-03-17,1243.4750
2005-03-18,1227.4030
2005-03-21,1231.0460
2005-03-22,1206.9220
2005-03-23,1201.6490
2005-03-24,1208.1920
2005-03-25,1205.6340
2005-03-28,1200.1130
2005-03-29,1195.0180
2005-03-30,1172.5740
2005-03-31,1181.2360
2005-04-01,1223.5660
2005-04-04,1202.9670
2005-04-05,1191.7450
2005-04-06,1214.8680
2005-04-07,1225.4870
2005-04-08,1248.5210
2005-04-11,1240.9720
2005-04-12,1219.5110
2005-04-13,1248.2030
2005-04-14,1234.3320
2005-04-15,1216.9620
2005-04-18,1197.7350
2005-04-19,1199.9020
2005-04-20,1184.1930
2005-04-21,1172.5560
2005-04-22,1169.1870
2005-04-25,1157.9710
2005-04-26,1165.3350
2005-04-27,1148.7570
2005-04-28,1169.1180
2005-04-29,1159.1460
2005-05-09,1130.8350
2005-05-10,1135.5610
2005-05-11,1124.2710
2005-05-12,1103.9930
2005-05-13,1107.6270
2005-05-16,1095.4680
2005-05-17,1099.6400
2005-05-18,1102.9650
2005-05-19,1103.4750
2005-05-20,1099.2690
2005-05-23,1070.8440
2005-05-24,1073.8470
2005-05-25,1072.1370
2005-05-26,1058.8670
2005-05-27,1051.9460
2005-05-30,1060.1620
2005-05-31,1060.7380
2005-06-01,1039.1870
2005-06-02,1016.0630
2005-06-03,1013.6370
2005-06-06,1034.3780
2005-06-07,1030.9410
2005-06-08,1115.5820
2005-06-09,1131.0520
2005-06-10,1108.2860
2005-06-13,1106.2910
2005-06-14,1093.4640
2005-06-15,1072.8360
2005-06-16,1086.0100
2005-06-17,1085.6100
2005-06-20,1115.6200
2005-06-21,1101.4860
2005-06-22,1102.0330
2005-06-23,1093.7020
2005-06-24,1101.8820
2005-06-27,1124.6400
2005-06-28,1108.5880
2005-06-29,1104.9920
2005-06-30,1080.9380
2005-07-01,1055.5940
2005-07-04,1047.2780
2005-07-05,1039.0430
2005-07-06,1033.5450
2005-07-07,1038.5970
2005-07-08,1017.9830
2005-07-11,1011.4990
2005-07-12,1046.1610
2005-07-13,1037.3940
2005-07-14,1040.4160
2005-07-15,1026.1150
2005-07-18,1012.0970
2005-07-19,1014.3550
2005-07-20,1021.0520
2005-07-21,1020.6320
2005-07-22,1046.3210
2005-07-25,1045.4000
2005-07-26,1072.8070
2005-07-27,1089.9090
2005-07-28,1086.5480
2005-07-29,1083.0330
2005-08-01,1088.9480
2005-08-02,1104.0380
2005-08-03,1107.6990
2005-08-04,1102.5890
2005-08-05,1128.7430
2005-08-08,1138.8820
2005-08-09,1152.5340
2005-08-10,1165.0330
2005-08-11,1183.5790
2005-08-12,1167.9150
2005-08-15,1187.0060
2005-08-16,1177.2780
2005-08-17,1192.8340
2005-08-18,1148.0350
2005-08-19,1150.1840
2005-08-22,1158.5970
2005-08-23,1149.9570
2005-08-24,1167.1370
2005-08-25,1172.4750
2005-08-26,1171.8600
2005-08-29,1154.4280
2005-08-30,1146.3850
2005-08-31,1162.7980
2005-09-01,1184.9330
2005-09-02,1188.8480
2005-09-05,1196.2240
2005-09-06,1173.3220
2005-09-07,1194.3090
2005-09-08,1194.4110
2005-09-09,1189.6250
2005-09-12,1188.2120
2005-09-13,1207.1640
2005-09-14,1217.2610
2005-09-15,1217.2810
2005-09-16,1212.9470
2005-09-19,1220.6270
2005-09-20,1212.6170
2005-09-21,1187.9880
2005-09-22,1159.9600
2005-09-23,1151.9800
2005-09-26,1155.0420
2005-09-27,1133.2370
2005-09-28,1131.7740
2005-09-29,1155.4850
2005-09-30,1155.6140
2005-10-10,1138.9500
2005-10-11,1157.1920
2005-10-12,1161.8530
2005-10-13,1152.6070
2005-10-14,1139.5470
2005-10-17,1131.3750
2005-10-18,1141.2010
2005-10-19,1134.6080
2005-10-20,1135.9490
2005-10-21,1141.3180
2005-10-24,1141.1710
2005-10-25,1121.9180
2005-10-26,1097.1610
2005-10-27,1097.7820
2005-10-28,1080.8670
2005-10-31,1092.8170
2005-11-01,1089.9500
2005-11-02,1104.7920
2005-11-03,1095.2730
2005-11-04,1100.0450
2005-11-07,1100.6500
2005-11-08,1110.1470
2005-11-09,1108.1530
2005-11-10,1088.3010
2005-11-11,1090.1950
2005-11-14,1088.6530
2005-11-15,1087.5080
2005-11-16,1095.8900
2005-11-17,1095.3100
2005-11-18,1116.9990
2005-11-21,1119.9360
2005-11-22,1098.6550
2005-11-23,1105.7460
2005-11-24,1113.3740
2005-11-25,1114.9160
2005-11-28,1110.8230
2005-11-29,1096.9860
2005-11-30,1099.2610
2005-12-01,1098.7470
2005-12-02,1094.2870
2005-12-05,1079.1970
2005-12-06,1087.7940
2005-12-07,1099.6150
2005-12-08,1098.3230
2005-12-09,1113.4770
2005-12-12,1116.3670
2005-12-13,1117.8460
2005-12-14,1125.3870
2005-12-15,1123.5550
2005-12-16,1127.5080
2005-12-19,1131.7510
2005-12-20,1136.3420
2005-12-21,1130.7590
2005-12-22,1135.2380
2005-12-23,1144.8710
2005-12-26,1156.8230
2005-12-27,1154.2880
2005-12-28,1157.0340
2005-12-29,1169.8620
2005-12-30,1161.0570
2006-01-04,1180.9630
2006-01-05,1197.2690
2006-01-06,1209.4220
2006-01-09,1215.6680
2006-01-10,1220.6180
2006-01-11,1211.0530
2006-01-12,1226.7040
2006-01-13,1221.4590
2006-01-16,1202.8690
2006-01-17,1208.4380
2006-01-18,1233.3500
2006-01-19,1251.5760
2006-01-20,1255.3080
2006-01-23,1255.7740
2006-01-24,1252.0620
2006-01-25,1258.0460
2006-02-06,1287.6260
2006-02-07,1282.0960
2006-02-08,1290.0550
2006-02-09,1269.4540
2006-02-10,1282.6560
2006-02-13,1279.6400
2006-02-14,1286.3270
2006-02-15,1299.1660
2006-02-16,1270.6330
2006-02-17,1267.4080
2006-02-20,1267.5420
2006-02-21,1288.4190
2006-02-22,1284.2260
2006-02-23,1288.8470
2006-02-24,1296.8660
2006-02-27,1297.1860
2006-02-28,1299.0300
2006-03-01,1306.5860
2006-03-02,1285.6660
2006-03-03,1293.2970
2006-03-06,1288.9550
2006-03-07,1259.9160
2006-03-08,1250.3840
2006-03-09,1245.1660
2006-03-10,1245.6530
2006-03-13,1259.6740
2006-03-14,1259.0440
2006-03-15,1274.8120
2006-03-16,1274.1900
2006-03-17,1269.4620
2006-03-20,1288.4180
2006-03-21,1290.3950
2006-03-22,1296.7060
2006-03-23,1302.4570
2006-03-24,1294.7040
2006-03-27,1295.9150
2006-03-28,1298.7910
2006-03-29,1305.5670
2006-03-30,1294.7180
2006-03-31,1298.2950
2006-04-03,1319.4710
2006-04-04,1329.7980
2006-04-05,1340.1620
2006-04-06,1339.7370
2006-04-07,1342.9650
2006-04-10,1359.0810
2006-04-11,1362.2290
2006-04-12,1360.1320
2006-04-13,1332.3300
2006-04-14,1359.5380
2006-04-17,1378.6140
2006-04-18,1385.1140
2006-04-19,1396.7020
2006-04-20,1385.9000
2006-04-21,1416.7930
2006-04-24,1409.7860
2006-04-25,1399.7670
2006-04-26,1417.4770
2006-04-27,1416.7320
2006-04-28,1440.2230
2006-05-08,1497.1040
2006-05-09,1531.1610
2006-05-10,1545.6870
2006-05-11,1537.3770
2006-05-12,1602.8320
2006-05-15,1664.0880
2006-05-16,1613.2510
2006-05-17,1625.1460
2006-05-18,1617.2810
2006-05-19,1659.5450
2006-05-22,1657.6890
2006-05-23,1604.5520
2006-05-24,1590.9240
2006-05-25,1591.4250
2006-05-26,1613.8940
2006-05-29,1648.5380
2006-05-30,1657.2880
2006-05-31,1641.3000
2006-06-01,1684.1950
2006-06-02,1669.3990
2006-06-05,1684.6240
2006-06-06,1679.1260
2006-06-07,1589.5450
2006-06-08,1591.4900
2006-06-09,1551.3840
2006-06-12,1552.7980
2006-06-13,1548.4950
2006-06-14,1531.3270
2006-06-15,1533.9800
2006-06-16,1574.4670
2006-06-19,1586.2860
2006-06-20,1592.3320
2006-06-21,1598.1160
2006-06-22,1596.0660
2006-06-23,1605.7110
2006-06-26,1633.4490
2006-06-27,1639.5510
2006-06-28,1639.2860
2006-06-29,1671.6180
2006-06-30,1672.2110
2006-07-03,1697.2820
2006-07-04,1681.5470
2006-07-05,1718.5550
2006-07-06,1741.4700
2006-07-07,1730.1900
2006-07-10,1734.3290
2006-07-11,1745.8060
2006-07-12,1740.0000
2006-07-13,1655.7730
2006-07-14,1665.2080
2006-07-17,1682.8870
2006-07-18,1684.2520
2006-07-19,1645.1600
2006-07-20,1655.1220
2006-07-21,1665.3280
2006-07-24,1665.9440
2006-07-25,1685.4610
2006-07-26,1686.6540
2006-07-27,1675.1680
2006-07-28,1662.0310
2006-07-31,1612.7330
2006-08-01,1600.6140
2006-08-02,1600.8720
2006-08-03,1601.0580
2006-08-04,1570.1500
2006-08-07,1547.4360
2006-08-08,1580.5770
2006-08-09,1578.5660
2006-08-10,1606.0650
2006-08-11,1605.9260
2006-08-14,1570.7380
2006-08-15,1595.6570
2006-08-16,1616.4100
2006-08-17,1603.3320
2006-08-18,1598.0180
2006-08-21,1601.1500
2006-08-22,1613.3550
2006-08-23,1612.3960
2006-08-24,1623.0170
2006-08-25,1623.0340
2006-08-28,1650.4380
2006-08-29,1651.0240
2006-08-30,1655.1950
2006-08-31,1658.6380
2006-09-01,1636.6910
2006-09-04,1657.5200
2006-09-05,1664.0780
2006-09-06,1672.1210
2006-09-07,1661.1900
2006-09-08,1667.9840
2006-09-11,1674.9660
2006-09-12,1695.8620
2006-09-13,1689.3890
2006-09-14,1689.6920
2006-09-15,1721.0450
2006-09-18,1732.9870
2006-09-19,1735.2410
2006-09-20,1732.4530
2006-09-21,1740.9010
2006-09-22,1725.3610
2006-09-25,1722.3660
2006-09-26,1712.6370
2006-09-27,1725.0390
2006-09-28,1736.9630
2006-09-29,1752.4240
2006-10-09,1785.3850
2006-10-10,1784.8620
2006-10-11,1790.1040
2006-10-12,1778.1810
2006-10-13,1784.6560
2006-10-16,1771.2990
2006-10-17,1763.9010
2006-10-18,1787.1850
2006-10-19,1792.2530
2006-10-20,1790.3640
2006-10-23,1759.3940
2006-10-24,1805.1810
2006-10-25,1806.6460
2006-10-26,1810.6460
2006-10-27,1807.1750
2006-10-30,1809.6560
2006-10-31,1837.9930
2006-11-01,1855.7130
2006-11-02,1851.3140
2006-11-03,1866.3620
2006-11-06,1886.3070
2006-11-07,1889.5300
2006-11-08,1866.8170
2006-11-09,1896.4820
2006-11-10,1883.3470
2006-11-13,1863.7650
2006-11-14,1888.2390
2006-11-15,1922.9350
2006-11-16,1941.5470
2006-11-17,1971.7930
2006-11-20,2017.2790
2006-11-21,2037.5520
2006-11-22,2041.3550
2006-11-23,2062.3630
2006-11-24,2050.8120
2006-11-27,2047.2770
2006-11-28,2038.7210
2006-11-29,2054.0910
2006-11-30,2099.2890
2006-12-01,2102.0490
2006-12-04,2161.6480
2006-12-05,2173.2850
2006-12-06,2156.6040
2006-12-07,2156.7500
2006-12-08,2093.6380
2006-12-11,2180.4960
2006-12-12,2218.9510
2006-12-13,2223.4550
2006-12-14,2249.1100
2006-12-15,2273.9080
2006-12-18,2332.4340
2006-12-19,2364.1770
2006-12-20,2373.2050
2006-12-21,2342.9380
2006-12-22,2343.6680
2006-12-25,2435.7620
2006-12-26,2479.7320
2006-12-27,2536.3870
2006-12-28,2567.5940
2006-12-29,2675.4740
2007-01-04,2715.7190
2007-01-05,2641.3340
2007-01-08,2707.1990
2007-01-09,2807.8040
2007-01-10,2825.5760
2007-01-11,2770.1100
2007-01-12,2668.1100
2007-01-15,2794.7010
2007-01-16,2821.0170
2007-01-17,2778.9000
2007-01-18,2756.9830
2007-01-19,2832.2070
2007-01-22,2933.1900
2007-01-23,2949.1440
2007-01-24,2975.1290
2007-01-25,2857.3650
2007-01-26,2882.5580
2007-01-29,2945.2630
2007-01-30,2930.5620
2007-01-31,2786.3350
2007-02-01,2785.4320
2007-02-02,2673.2120
2007-02-05,2612.5370
2007-02-06,2675.6970
2007-02-07,2716.1750
2007-02-08,2737.7320
2007-02-09,2730.3860
2007-02-12,2807.1740
2007-02-13,2831.8720
2007-02-14,2905.0930
2007-02-15,2993.0080
2007-02-16,2998.4740
2007-02-26,3040.5990
2007-02-27,2771.7910
2007-02-28,2881.0730
2007-03-01,2797.1900
2007-03-02,2831.5260
2007-03-05,2785.3060
2007-03-06,2840.1750
2007-03-07,2896.5940
2007-03-08,2928.0150
2007-03-09,2937.9100
2007-03-12,2954.9140
2007-03-13,2964.7940
2007-03-14,2906.3340
2007-03-15,2951.6980
2007-03-16,2930.4810
2007-03-19,3014.4420
2007-03-20,3032.1950
2007-03-21,3057.3800
2007-03-22,3071.2250
2007-03-23,3074.2860
2007-03-26,3122.8110
2007-03-27,3138.8260
2007-03-28,3173.0180
2007-03-29,3197.5370
2007-03-30,3183.9830
2007-04-02,3252.5950
2007-04-03,3291.2990
2007-04-04,3291.5420
2007-04-05,3319.1400
2007-04-06,3323.5850
2007-04-09,3398.9500
2007-04-10,3444.2910
2007-04-11,3495.2240
2007-04-12,3531.0290
2007-04-13,3518.2670
2007-04-16,3596.4410
2007-04-17,3611.8700
2007-04-18,3612.3960
2007-04-19,3449.0160
2007-04-20,3584.2040
2007-04-23,3710.8860
2007-04-24,3720.5320
2007-04-25,3743.9590
2007-04-26,3783.0630
2007-04-27,3759.8670
2007-04-30,3841.2720
2007-05-08,3950.0110
2007-05-09,4013.0850
2007-05-10,4049.7010
2007-05-11,4021.6780
2007-05-14,4046.3920
2007-05-15,3899.1780
2007-05-16,3986.0430
2007-05-17,4048.2930
2007-05-18,4030.2580
2007-05-21,4072.2250
2007-05-22,4110.3790
2007-05-23,4173.7090
2007-05-24,4151.1330
2007-05-25,4179.7760
2007-05-28,4272.1110
2007-05-29,4334.9240
2007-05-30,4053.0880
2007-05-31,4109.6540
2007-06-01,4000.7420
2007-06-04,3670.4010
2007-06-05,3767.1010
2007-06-06,3776.3170
2007-06-07,3890.8030
2007-06-08,3913.1350
2007-06-11,3995.6800
2007-06-12,4072.1380
2007-06-13,4176.4800
2007-06-14,4115.2090
2007-06-15,4132.8690
2007-06-18,4253.3480
2007-06-19,4269.5240
2007-06-20,4181.3230
2007-06-21,4230.8230
2007-06-22,4091.4450
2007-06-25,3941.0810
2007-06-26,3973.3710
2007-06-27,4078.5990
2007-06-28,3914.2040
2007-06-29,3820.7030
2007-07-02,3836.2940
2007-07-03,3899.7240
2007-07-04,3816.1650
2007-07-05,3615.8720
2007-07-06,3781.3480
2007-07-09,3883.2160
2007-07-10,3853.0210
2007-07-11,3865.7230
2007-07-12,3915.9910
2007-07-13,3914.3950
2007-07-16,3821.9160
2007-07-17,3896.1910
2007-07-18,3930.0600
2007-07-19,3912.9410
2007-07-20,4058.8530
2007-07-23,4213.3610
2007-07-24,4210.3290
2007-07-25,4323.9660
2007-07-26,4346.4580
2007-07-27,4345.3570
2007-07-30,4440.7690
2007-07-31,4471.0320
2007-08-01,4300.5630
2007-08-02,4407.7300
2007-08-03,4560.7740
2007-08-06,4628.1080
2007-08-07,4651.2250
2007-08-08,4663.1620
2007-08-09,4754.0950
2007-08-10,4749.3690
2007-08-13,4820.0640
2007-08-14,4872.7850
2007-08-15,4869.8830
2007-08-16,4765.4480
2007-08-17,4656.5740
2007-08-20,4904.8550
2007-08-21,4955.2070
2007-08-22,4980.0750
2007-08-23,5032.4940
2007-08-24,5107.6680
2007-08-27,5150.1180
2007-08-28,5194.6890
2007-08-29,5109.4270
2007-08-30,5167.8840
2007-08-31,5218.8250
2007-09-03,5321.0550
2007-09-04,5294.0450
2007-09-05,5310.7160
2007-09-06,5393.6600
2007-09-07,5277.1760
2007-09-10,5355.2870
2007-09-11,5113.9680
2007-09-12,5172.6270
2007-09-13,5273.5920
2007-09-14,5312.1820
2007-09-17,5421.3920
2007-09-18,5425.2080
2007-09-19,5395.2650
2007-09-20,5470.0650
2007-09-21,5454.6740
2007-09-24,5485.0130
2007-09-25,5425.8800
2007-09-26,5338.5200
2007-09-27,5409.4030
2007-09-28,5552.3010
2007-10-08,5692.7550
2007-10-09,5715.8920
2007-10-10,5771.4640
2007-10-11,5913.2300
2007-10-12,5903.2640
2007-10-15,6030.0860
2007-10-16,6092.0570
2007-10-17,6036.2810
2007-10-18,5825.2820
