,标普500
,SPX.GI
日期,收盘价
Date,close
2003-09-22,1022.8200
2003-09-23,1029.0300
2003-09-24,1009.3800
2003-09-25,1003.2700
2003-09-26,996.8500
2003-09-29,1006.5800
2003-09-30,995.9700
2003-10-08,1033.7800
2003-10-09,1038.7300
2003-10-10,1038.0600
2003-10-13,1045.3500
2003-10-14,1049.4800
2003-10-15,1046.7600
2003-10-16,1050.0700
2003-10-17,1039.3200
2003-10-20,1044.6800
2003-10-21,1046.0300
2003-10-22,1030.3600
2003-10-23,1033.7700
2003-10-24,1028.9100
2003-10-27,1031.1300
2003-10-28,1046.7900
2003-10-29,1048.1100
2003-10-30,1046.9400
2003-10-31,1050.7100
2003-11-03,1059.0200
2003-11-04,1053.2500
2003-11-05,1051.8100
2003-11-06,1058.0500
2003-11-07,1053.2100
2003-11-10,1047.1100
2003-11-11,1046.5700
2003-11-12,1058.5600
2003-11-13,1058.4100
2003-11-14,1050.3500
2003-11-17,1043.6300
2003-11-18,1034.1500
2003-11-19,1042.4400
2003-11-20,1033.6500
2003-11-21,1035.2800
2003-11-24,1052.0800
2003-11-25,1053.8900
2003-11-26,1058.4500
2003-11-27,1058.4500
2003-11-28,1058.2000
2003-12-01,1070.1200
2003-12-02,1066.6200
2003-12-03,1064.7300
2003-12-04,1069.7200
2003-12-05,1061.5000
2003-12-08,1069.3000
2003-12-09,1060.1800
2003-12-10,1059.0500
2003-12-11,1071.2100
2003-12-12,1074.1400
2003-12-15,1068.0400
2003-12-16,1075.1300
2003-12-17,1076.4800
2003-12-18,1089.1800
2003-12-19,1088.6700
2003-12-22,1092.9400
2003-12-23,1096.0200
2003-12-24,1094.0400
2003-12-25,1094.0400
2003-12-26,1095.8900
2003-12-29,1109.4800
2003-12-30,1109.6400
2003-12-31,1111.9200
2004-01-02,1108.4800
2004-01-05,1122.2200
2004-01-06,1123.6700
2004-01-07,1126.3300
2004-01-08,1131.9200
2004-01-09,1121.8600
2004-01-12,1127.2300
2004-01-13,1121.2200
2004-01-14,1130.5200
2004-01-15,1132.0500
2004-01-16,1139.8300
2004-01-29,1134.1100
2004-01-30,1131.1300
2004-02-02,1135.2600
2004-02-03,1136.0300
2004-02-04,1126.5200
2004-02-05,1128.5900
2004-02-06,1142.7600
2004-02-09,1139.8100
2004-02-10,1145.5400
2004-02-11,1157.7600
2004-02-12,1152.1100
2004-02-13,1145.8100
2004-02-16,1145.8100
2004-02-17,1156.9900
2004-02-18,1151.8200
2004-02-19,1147.0600
2004-02-20,1144.1100
2004-02-23,1140.9900
2004-02-24,1139.0900
2004-02-25,1143.6700
2004-02-26,1144.9100
2004-02-27,1144.9400
2004-03-01,1155.9600
2004-03-02,1149.1000
2004-03-03,1151.0400
2004-03-04,1154.8800
2004-03-05,1156.8700
2004-03-08,1147.2100
2004-03-09,1140.5800
2004-03-10,1123.8900
2004-03-11,1106.7800
2004-03-12,1120.5700
2004-03-15,1104.4900
2004-03-16,1110.7000
2004-03-17,1123.7500
2004-03-18,1122.3200
2004-03-19,1109.7800
2004-03-22,1095.4000
2004-03-23,1093.9500
2004-03-24,1091.3300
2004-03-25,1109.1900
2004-03-26,1108.0600
2004-03-29,1122.4700
2004-03-30,1127.0000
2004-03-31,1126.2100
2004-04-01,1132.1700
2004-04-02,1141.8100
2004-04-05,1150.5700
2004-04-06,1148.1600
2004-04-07,1140.5300
2004-04-08,1139.3200
2004-04-09,1139.3200
2004-04-12,1145.2000
2004-04-13,1129.4400
2004-04-14,1128.1700
2004-04-15,1128.8400
2004-04-16,1134.6100
2004-04-19,1135.8200
2004-04-20,1118.1500
2004-04-21,1124.0900
2004-04-22,1139.9300
2004-04-23,1140.6000
2004-04-26,1135.5300
2004-04-27,1138.1100
2004-04-28,1122.4100
2004-04-29,1113.8900
2004-04-30,1107.3000
2004-05-10,1087.1200
2004-05-11,1095.4500
2004-05-12,1097.2800
2004-05-13,1096.4400
2004-05-14,1095.7000
2004-05-17,1084.1000
2004-05-18,1091.4900
2004-05-19,1088.6800
2004-05-20,1089.1900
2004-05-21,1093.5600
2004-05-24,1095.4100
2004-05-25,1113.0500
2004-05-26,1114.9400
2004-05-27,1121.2800
2004-05-28,1120.6800
2004-05-31,1120.6800
2004-06-01,1121.2000
2004-06-02,1124.9900
2004-06-03,1116.6400
2004-06-04,1122.5000
2004-06-07,1140.4200
2004-06-08,1142.1800
2004-06-09,1131.3300
2004-06-10,1136.4700
2004-06-11,1136.4700
2004-06-14,1125.2900
2004-06-15,1132.0100
2004-06-16,1133.5600
2004-06-17,1132.0500
2004-06-18,1135.0200
2004-06-21,1130.3000
2004-06-22,1134.4100
2004-06-23,1144.0600
2004-06-24,1140.6500
2004-06-25,1134.4300
2004-06-28,1133.3500
2004-06-29,1136.2000
2004-06-30,1140.8400
2004-07-01,1128.9400
2004-07-02,1125.3800
2004-07-05,1125.3800
2004-07-06,1116.2100
2004-07-07,1118.3300
