,收盘价
,close
日期,中证500
Date,000905.SH
2010-02-05,4311.2930
2010-02-08,4310.8940
2010-02-09,4311.8910
2010-02-10,4366.2500
2010-02-11,4356.5170
2010-02-12,4416.2190
2010-02-22,4419.5470
2010-02-23,4459.1550
2010-02-24,4556.2810
2010-02-25,4629.9650
2010-02-26,4634.6710
2010-03-01,4686.2660
2010-03-02,4690.2930
2010-03-03,4758.4340
2010-03-04,4586.5230
2010-03-05,4604.5860
2010-03-08,4654.5830
2010-03-09,4660.1260
2010-03-10,4598.9940
2010-03-11,4562.8720
2010-03-12,4492.8610
2010-03-15,4454.7600
2010-03-16,4491.4650
2010-03-17,4616.0530
2010-03-18,4630.9530
2010-03-19,4663.9030
2010-03-22,4690.1980
2010-03-23,4658.6260
2010-03-24,4683.0650
2010-03-25,4620.7490
2010-03-26,4686.9310
2010-03-29,4723.6110
2010-03-30,4744.4230
2010-03-31,4756.1570
2010-04-01,4827.2140
2010-04-02,4843.1750
2010-04-06,4852.9040
2010-04-07,4863.6390
2010-04-08,4864.9220
2010-04-09,4939.1760
2010-04-12,4976.3800
2010-04-13,4919.8730
2010-04-14,4977.5080
2010-04-15,4914.7470
2010-04-16,4898.6700
2010-04-19,4688.8360
2010-04-20,4749.9340
2010-04-21,4893.9780
2010-04-22,4902.4050
2010-04-23,4864.1640
2010-04-26,4866.5530
2010-04-27,4739.2690
2010-04-28,4714.4320
2010-04-29,4561.4000
2010-04-30,4438.6810
2010-05-04,4434.1310
2010-05-05,4564.8070
2010-05-06,4419.7810
2010-05-07,4350.7580
2010-05-10,4269.1080
2010-05-11,4144.3520
2010-05-12,4042.5160
2010-05-13,4157.8420
2010-05-14,4184.8410
2010-05-17,3915.7520
2010-05-18,3972.1540
2010-05-19,3977.3770
2010-05-20,3901.2570
2010-05-21,3982.3850
2010-05-24,4163.4770
2010-05-25,4133.3460
2010-05-26,4144.6620
2010-05-27,4218.6370
2010-05-28,4235.3220
2010-05-31,4104.3640
2010-06-01,4025.7890
2010-06-02,4083.6160
2010-06-03,4053.9850
2010-06-04,4089.0350
2010-06-07,4072.5680
2010-06-08,4109.3170
2010-06-09,4211.8810
2010-06-10,4223.5660
2010-06-11,4197.9950
2010-06-17,4145.2430
2010-06-18,3972.2860
2010-06-21,4087.0170
2010-06-22,4119.7220
2010-06-23,4094.5680
2010-06-24,4095.2950
2010-06-25,4028.4330
2010-06-28,3961.3820
2010-06-29,3736.9820
2010-06-30,3664.4640
2010-07-01,3606.5930
2010-07-02,3585.5760
2010-07-05,3563.8820
2010-07-06,3665.3340
2010-07-07,3718.6620
2010-07-08,3698.3420
2010-07-09,3807.6040
2010-07-12,3849.5200
2010-07-13,3788.7510
2010-07-14,3824.0460
2010-07-15,3735.3950
2010-07-16,3757.4320
2010-07-19,3842.3130
2010-07-20,3951.3580
2010-07-21,3959.4270
2010-07-22,4017.8640
2010-07-23,4015.4670
2010-07-26,4071.0940
2010-07-27,4068.8640
2010-07-28,4162.3210
2010-07-29,4194.0400
2010-07-30,4191.1300
2010-08-02,4267.8950
2010-08-03,4193.6410
2010-08-04,4248.0140
2010-08-05,4267.9550
2010-08-06,4356.0120
2010-08-09,4413.5680
2010-08-10,4246.4600
2010-08-11,4297.9040
2010-08-12,4241.5920
2010-08-13,4323.0520
2010-08-16,4423.3150
2010-08-17,4457.7590
2010-08-18,4457.1270
2010-08-19,4461.4880
2010-08-20,4366.6040
2010-08-23,4404.7180
2010-08-24,4456.4970
2010-08-25,4368.3040
2010-08-26,4399.2840
2010-08-27,4431.4440
2010-08-30,4553.0230
2010-08-31,4589.2890
2010-09-01,4530.2290
2010-09-02,4625.3950
2010-09-03,4662.9600
2010-09-06,4651.9630
2010-09-07,4679.9420
2010-09-08,4720.3750
2010-09-09,4658.0090
2010-09-10,4705.3100
